"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","PM2.5 Outdoor (µg/m^3)","PM2.5 Outdoor 24 Hour Average (µg/m^3)","Sensor 1 Temperature (°C)","Sensor 1 Humidity (%)","Sensor 4 Temperature (°C)","Sensor 4 Humidity (%)","Outdoor Battery","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (km/hr)","CO2 battery","Soil 1 Battery","PM2.5 Outdoor","PM2.5 Outdoor 24 Hour Average","PM2.5 Outdoor Battery","Sensor 1 Feels Like (°C)","Sensor 1 Dew Point (°C)","Sensor 4 Battery","Sensor 4 Feels Like (°C)","Sensor 4 Dew Point (°C)"
2025-10-31T23:55:00+05:30,2025-10-31 23:55:00,22.7,23.6,22,0,0,18.3,4,0,0,0,0,339.9,1740.1,96,0,0,50,31,,,27.2,74,1,4,0,1,,137,91,1,,,1,29.6,22.2
2025-10-31T23:50:00+05:30,2025-10-31 23:50:00,22.8,23.6,22.1,0,0,18.3,4,0,0,0,0,339.9,1740.1,96,0,0,50,31,,,27.2,74,1,4,0,1,,137,91,1,,,1,29.6,22.2
2025-10-31T23:45:00+05:30,2025-10-31 23:45:00,22.8,23.6,22.1,0,0,18.3,4,0,0,0,0,339.9,1740.1,96,0,0,47,31,,,27.2,74,1,4,0,1,,129,91,1,,,1,29.6,22.2
2025-10-31T23:40:00+05:30,2025-10-31 23:40:00,22.9,23.7,22.2,0,0,18.3,4,0,0,0,0,339.9,1740.1,96,0,0,47,30.9,,,27.3,74,1,4,0,1,,129,91,1,,,1,29.7,22.2
2025-10-31T23:35:00+05:30,2025-10-31 23:35:00,22.8,23.6,22.1,0,0,18.3,4,0,0,0,0,339.9,1740.1,96,0,0,51,31,,,27.3,74,1,4,0,1,,139,91,1,,,1,29.7,22.2
2025-10-31T23:30:00+05:30,2025-10-31 23:30:00,22.8,23.6,22.1,0,0,18.3,4,0,0,0,0,339.9,1740.1,96,0,0,51,30.9,,,27.3,74,1,4,0,1,,139,91,1,,,1,29.7,22.2
2025-10-31T23:25:00+05:30,2025-10-31 23:25:00,22.9,23.7,22.2,0,0,18.3,4,0,0,0,0,339.9,1740.1,96,0,0,62,31,,,27.3,74,1,4,0,1,,154,90,1,,,1,29.7,22.2
2025-10-31T23:20:00+05:30,2025-10-31 23:20:00,22.9,23.7,22.2,0,0,18.3,4,0,0,0,0,339.9,1740.1,96,0,0,62,30.8,,,27.3,74,1,4,0,1,,154,90,1,,,1,29.7,22.2
2025-10-31T23:15:00+05:30,2025-10-31 23:15:00,22.9,23.7,22.2,0,0,18.3,5,0,0,0,0,339.9,1740.1,96,0,0,54,30.8,,,27.3,74,1,5,0,1,,147,90,1,,,1,29.7,22.2
2025-10-31T23:10:00+05:30,2025-10-31 23:10:00,22.9,23.7,22.2,0,0,18.3,5,0,0,0,0,339.9,1740.1,96,0,0,54,30.7,,,27.4,74,1,5,0,1,,147,90,1,,,1,29.9,22.3
2025-10-31T23:05:00+05:30,2025-10-31 23:05:00,23,23.9,22.3,0,0,18.3,5,0,0,0,0,339.9,1740.1,96,0,0,59,30.8,,,27.4,73,1,5,0,1,,153,90,1,,,1,29.8,22.1
2025-10-31T23:00:00+05:30,2025-10-31 23:00:00,23,23.9,22.3,0,0,18.3,5,0,0,0,0,339.9,1740.1,96,0,0,59,30.6,,,27.4,73,1,5,0,1,,153,90,1,,,1,29.8,22.1
2025-10-31T22:55:00+05:30,2025-10-31 22:55:00,23.1,24,22.4,0,0,18.3,5,0,0,0,0,339.9,1740.1,96,0,0,56,30.6,,,27.4,73,1,5,0,1,,151,90,1,,,1,29.8,22.1
2025-10-31T22:50:00+05:30,2025-10-31 22:50:00,23.1,24,22.4,0,0,18.3,5,0,0,0,0,339.9,1740.1,96,0,0,56,30.5,,,27.4,73,1,5,0,1,,151,90,1,,,1,29.8,22.1
2025-10-31T22:45:00+05:30,2025-10-31 22:45:00,23.1,24,22.3,0,0,18.3,5,0,0,0,0,339.9,1740.1,95,0,0,57,30.5,,,27.4,73,1,5,0,1,,152,89,1,,,1,29.8,22.1
2025-10-31T22:40:00+05:30,2025-10-31 22:40:00,23.2,24.1,22.4,0,0,18.3,5,0,0,0,0,339.9,1740.1,95,0,0,57,30.4,,,27.4,73,1,5,0,1,,152,89,1,,,1,29.8,22.1
2025-10-31T22:35:00+05:30,2025-10-31 22:35:00,23.2,24.1,22.4,0,0,18.3,5,0,0,0,0,339.9,1740.1,95,0,0,53,30.4,,,27.5,73,1,5,0,1,,144,89,1,,,1,30.1,22.2
2025-10-31T22:30:00+05:30,2025-10-31 22:30:00,23.2,24.1,22.4,0,0,18.3,5,0,0,0,0,339.9,1740.1,95,0,0,53,30.4,,,27.5,73,1,5,0,1,,144,89,1,,,1,30.1,22.2
2025-10-31T22:25:00+05:30,2025-10-31 22:25:00,23.3,24.1,22.4,0,0,18.3,5,0,0,0,0,339.9,1740.1,95,0,0,62,30.5,,,27.5,73,1,5,0,1,,154,89,1,,,1,30.1,22.2
2025-10-31T22:20:00+05:30,2025-10-31 22:20:00,23.3,24.1,22.3,0,0,18.3,5,0,0,0,0,339.9,1740.1,94,0,0,62,30.4,,,27.5,73,1,5,0,1,,154,89,1,,,1,30.1,22.2
2025-10-31T22:15:00+05:30,2025-10-31 22:15:00,23.4,24.2,22.4,0,0,18.3,5,0,0,0,0,339.9,1740.1,94,0,0,56,30.3,,,27.5,73,1,5,0,1,,151,89,1,,,1,30.1,22.2
2025-10-31T22:10:00+05:30,2025-10-31 22:10:00,23.4,24.2,22.4,0,0,18.3,5,0,0,0,0,339.9,1740.1,94,0,0,56,30.2,,,27.5,73,1,11,0,1,,151,89,1,,,1,30.1,22.2
2025-10-31T22:05:00+05:30,2025-10-31 22:05:00,23.5,24.4,22.5,0,0,18.3,11,0,0,0,0,339.9,1740.1,94,0,0,51,30.2,,,27.6,73,1,313,0,1,,139,89,1,,,1,30.3,22.3
2025-10-31T22:00:00+05:30,2025-10-31 22:00:00,23.6,24.5,22.6,0,0,18.3,313,0,0,0,0,339.9,1740.1,94,0,0,51,30.2,,,27.6,73,1,313,0,1,,139,89,1,,,1,30.3,22.3
2025-10-31T21:55:00+05:30,2025-10-31 21:55:00,23.6,24.5,22.6,0,0,18.3,313,0,0,0,0,339.9,1740.1,94,0,0,52,30.2,,,27.6,73,1,313,0,1,,142,89,1,,,1,30.3,22.3
2025-10-31T21:50:00+05:30,2025-10-31 21:50:00,23.7,24.6,22.5,0,0,18.3,313,0,0,0,0,339.9,1740.1,93,0,0,52,30.2,,,27.6,73,1,313,0,1,,142,89,1,,,1,30.3,22.3
2025-10-31T21:45:00+05:30,2025-10-31 21:45:00,23.7,24.6,22.7,0,0,18.3,313,0,0,0,0,339.9,1740.1,94,0,0,54,30.2,,,27.6,73,1,313,0,1,,147,89,1,,,1,30.3,22.3
2025-10-31T21:40:00+05:30,2025-10-31 21:40:00,23.7,24.6,22.5,0,0,18.3,313,0,0,0,0,339.9,1740.1,93,0,0,54,30.1,,,27.7,73,1,313,0,1,,147,89,1,,,1,30.5,22.4
2025-10-31T21:35:00+05:30,2025-10-31 21:35:00,23.8,24.6,22.6,0,0,18.3,313,0,0,0,0,339.9,1740.1,93,0,0,67,30.2,,,27.7,73,1,313,0,1,,157,89,1,,,1,30.5,22.4
2025-10-31T21:30:00+05:30,2025-10-31 21:30:00,23.8,24.6,22.6,0,0,18.3,313,0,0,0,0,339.9,1740.1,93,0,0,67,30.1,,,27.7,73,1,313,0,1,,157,89,1,,,1,30.5,22.4
