"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","PM2.5 Outdoor (µg/m^3)","PM2.5 Outdoor 24 Hour Average (µg/m^3)","Indoor Battery","Absolute Pressure (hPa)","Outdoor Battery","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (km/hr)","PM2.5 Outdoor","PM2.5 Outdoor 24 Hour Average","PM2.5 Outdoor Battery","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2025-05-31T23:55:00+05:30,2025-05-31 23:55:00,24.7,25.7,23.3,0,0,31.4,260,0,5.3,2,89,217.3,940.1,959.3,92,0,0,25.5,86,7,5.6,1,959.3,1,260,0,29,23,1,1,26.3,23
2025-05-31T23:50:00+05:30,2025-05-31 23:50:00,24.7,25.7,23.3,2.9,3.5,31.4,226,0,5.3,2,89,217.3,940.1,959.2,92,0,0,25.4,86,7,5.6,1,959.2,1,294,0,29,23,1,1,26.2,22.9
2025-05-31T23:45:00+05:30,2025-05-31 23:45:00,24.6,25.5,23.2,0,0,31.4,21,0,5.3,2,89,217.3,940.1,959.3,92,0,0,25.5,86,9,5.7,1,959.3,1,282,0,38,24,1,1,26.3,23
2025-05-31T23:40:00+05:30,2025-05-31 23:40:00,24.5,25.4,23.3,1.1,3.5,31.4,295,0,5.3,2,89,217.3,940.1,959,93,0,0,25.6,86,9,5.7,1,959,1,15,0,38,24,1,1,26.5,23.1
2025-05-31T23:35:00+05:30,2025-05-31 23:35:00,24.5,25.4,23.3,0,0,31.4,344,0,5.3,2,89,217.3,940.1,959.2,93,0,0,25.6,86,7,5.6,1,959.2,1,15,0,29,23,1,1,26.5,23.1
2025-05-31T23:30:00+05:30,2025-05-31 23:30:00,24.6,25.6,23.4,0,1.8,31.4,279,0,5.3,2,89,217.3,940.1,959.3,93,0,0,25.6,86,7,5.6,1,959.3,1,10,0,29,23,1,1,26.5,23.1
2025-05-31T23:25:00+05:30,2025-05-31 23:25:00,24.8,25.7,23.6,0,3.5,31.4,10,0,5.3,2,89,217.3,940.1,959.3,93,0,0,25.6,86,6,5.6,1,959.3,1,302,1.4,25,23,1,1,26.5,23.1
2025-05-31T23:20:00+05:30,2025-05-31 23:20:00,24.8,25.7,23.4,0,1.8,31.4,307,1.2,5.3,2,89,217.3,940.1,959.2,92,0,0,25.6,86,6,5.6,1,959.2,1,293,1.4,25,23,1,1,26.5,23.1
2025-05-31T23:15:00+05:30,2025-05-31 23:15:00,24.9,25.8,23.3,0.6,7.2,31.4,291,0,5.1,1.8,88.8,217.1,939.9,959.3,91,0,0,25.6,86,9,5.7,1,959.3,1,291,0.3,38,23,1,1,26.5,23.1
2025-05-31T23:10:00+05:30,2025-05-31 23:10:00,24.8,25.7,23.4,0,7.2,31.4,292,0,5.1,1.8,88.8,217.1,939.9,959.2,92,0,0,25.6,86,9,5.7,1,959.2,1,292,0,38,23,1,1,26.5,23.1
