"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","PM2.5 Outdoor (µg/m^3)","PM2.5 Outdoor 24 Hour Average (µg/m^3)","Sensor 4 Temperature (°C)","Sensor 4 Humidity (%)","Outdoor Battery","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (km/hr)","Sensor 4 Battery","PM2.5 Outdoor","PM2.5 Outdoor 24 Hour Average","PM2.5 Outdoor Battery","CO2 battery","Sensor 4 Feels Like (°C)","Sensor 4 Dew Point (°C)"
2025-12-31T23:55:00+05:30,2025-12-31 23:55:00,21.2,22,21.1,0,0,20.1,0,1.2,7.6,7.6,8.6,148.1,2634.3,99,0,0,23,41.2,25.1,79,1,0,0,1,74,115,1,1,25.7,21.2
2025-12-31T23:50:00+05:30,2025-12-31 23:50:00,21.2,22,21.1,0,0,20.1,0,0,7.4,7.4,8.4,147.9,2634.1,99,0,0,23,41.2,25.2,79,1,0,0,1,74,115,1,1,25.9,21.3
2025-12-31T23:45:00+05:30,2025-12-31 23:45:00,21.2,22,21.1,0,0,20.1,0,4.8,7.4,7.4,8.4,147.9,2634.1,99,0,0,18,41.4,25.2,79,1,0,0,1,63,116,1,1,25.9,21.3
2025-12-31T23:40:00+05:30,2025-12-31 23:40:00,21.2,22,21.1,0,0,20.1,0,7.8,7.4,7.4,8.4,147.9,2634.1,99,0,0,18,41.4,25.2,79,1,0,0,1,63,116,1,1,25.9,21.3
2025-12-31T23:35:00+05:30,2025-12-31 23:35:00,21.1,21.9,20.9,0,0,20.1,0,3,6.6,6.6,7.6,147.1,2633.3,99,0,0,21,41.8,25.2,79,1,0,0,1,70,117,1,1,25.9,21.3
2025-12-31T23:30:00+05:30,2025-12-31 23:30:00,21,21.7,20.8,0,0,20.1,0,0,6.1,6.1,7.1,146.6,2632.8,99,0,0,21,41.8,25.2,79,1,0,0,1,70,117,1,1,25.9,21.3
2025-12-31T23:25:00+05:30,2025-12-31 23:25:00,21,21.7,20.8,0,0,20.1,0,0,6.1,6.1,7.1,146.6,2632.8,99,0,0,16,42,25.2,79,1,0,0,1,59,117,1,1,25.9,21.3
2025-12-31T23:20:00+05:30,2025-12-31 23:20:00,20.9,21.6,20.7,0,0,20.1,0,0,6.1,6.1,7.1,146.6,2632.8,99,0,0,16,42,25.3,79,1,0,0,1,59,117,1,1,25.9,21.4
2025-12-31T23:15:00+05:30,2025-12-31 23:15:00,21,21.7,20.8,0,0,20.1,0,0,6.1,6.1,7.1,146.6,2632.8,99,0,0,22,42.3,25.3,79,1,0,0,1,72,118,1,1,25.9,21.4
2025-12-31T23:10:00+05:30,2025-12-31 23:10:00,20.9,21.6,20.7,0,0,20.1,0,0,6.1,6.1,7.1,146.6,2632.8,99,0,0,22,42.3,25.3,79,1,359,0,1,72,118,1,1,25.9,21.4
2025-12-31T23:05:00+05:30,2025-12-31 23:05:00,21,21.7,20.8,0,0,20.1,359,0,6.1,6.1,7.1,146.6,2632.8,99,0,0,21,42.6,25.3,79,1,0,0,1,70,118,1,1,25.9,21.4
2025-12-31T23:00:00+05:30,2025-12-31 23:00:00,21,21.7,20.8,0,0,20.1,0,0,6.1,6.1,7.1,146.6,2632.8,99,0,0,21,42.6,25.3,79,1,3,0,1,70,118,1,1,25.9,21.4
2025-12-31T22:55:00+05:30,2025-12-31 22:55:00,21.1,21.9,20.9,0,0,20.1,3,0,6.1,6.1,7.1,146.6,2632.8,99,0,0,27,42.9,25.3,79,1,2,0,1,82,119,1,1,25.9,21.4
2025-12-31T22:50:00+05:30,2025-12-31 22:50:00,21.1,21.9,20.9,0,0,20.1,358,0,6.1,6.1,7.1,146.6,2632.8,99,0,0,27,42.9,25.3,79,1,358,0,1,82,119,1,1,25.9,21.4
2025-12-31T22:45:00+05:30,2025-12-31 22:45:00,21.1,21.9,20.9,0,0,20.1,355,0,6.1,6.1,7.1,146.6,2632.8,99,0,0,18,43.1,25.3,79,1,314,0,1,63,120,1,1,25.9,21.4
2025-12-31T22:40:00+05:30,2025-12-31 22:40:00,21.1,21.9,20.9,0,0,20.1,314,0,6.1,6.1,7.1,146.6,2632.8,99,0,0,18,43.1,25.3,79,1,314,0,1,63,120,1,1,25.9,21.4
2025-12-31T22:35:00+05:30,2025-12-31 22:35:00,21.2,22,21.1,0,0,20.1,313,1.2,6.1,6.1,7.1,146.6,2632.8,99,0,0,16,43.4,25.4,79,1,313,0,1,59,120,1,1,26.1,21.5
2025-12-31T22:30:00+05:30,2025-12-31 22:30:00,21.2,22,21.1,0,0,20.1,313,1.2,6.1,6.1,7.1,146.6,2632.8,99,0,0,16,43.4,25.4,79,1,314,0,1,59,120,1,1,26.1,21.5
2025-12-31T22:25:00+05:30,2025-12-31 22:25:00,21.3,22,21.1,0,0,20.1,313,1.8,5.9,5.9,6.9,146.4,2632.6,99,0,0,13,43.8,25.4,79,1,313,0,1,53,121,1,1,26.1,21.5
2025-12-31T22:20:00+05:30,2025-12-31 22:20:00,21.3,22,21.1,0,0,20.1,313,0,5.6,5.6,6.6,146.1,2632.3,99,0,0,13,43.8,25.4,79,1,313,0,1,53,121,1,1,26.1,21.5
2025-12-31T22:15:00+05:30,2025-12-31 22:15:00,21.3,22,21.1,0,0,20.1,313,1.2,5.6,5.6,6.6,146.1,2632.3,99,0,0,17,44.1,25.4,79,1,313,0,1,61,122,1,1,26.1,21.5
