"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 4 Temperature (°C)","Sensor 4 Humidity (%)","Sensor 4 Heat Index (°C)","Outdoor Battery","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (km/hr)","Sensor 4 Battery","CO2 battery","Sensor 4 Dew Point (°C)"
2026-08-07T14:50:00+05:30,2026-08-07 14:50:00,26.4,27.2,22.9,5.5,20.1,31.4,276,0,0.3,0.8,105,156.5,1176.6,81,3,326.9,26.3,79,27,1,279,8.2,1,1,22.3
2026-08-07T14:45:00+05:30,2026-08-07 14:45:00,26.2,27,22.5,10.5,21.9,31.4,338,0,0.3,0.8,105,156.5,1176.6,80,2,282.9,26.3,80,27.1,1,299,9,1,1,22.6
2026-08-07T14:40:00+05:30,2026-08-07 14:40:00,26.3,27.1,23,8.7,20.1,31.4,283,0,0.3,0.8,105,156.5,1176.6,82,3,353.7,26.2,80,27,1,219,8.7,1,1,22.5
2026-08-07T14:35:00+05:30,2026-08-07 14:35:00,26.1,26.9,23,11.1,21.9,31.4,285,0,0.3,0.8,105,156.5,1176.6,83,4,508.3,26.2,80,27,1,285,9,1,1,22.5
2026-08-07T14:30:00+05:30,2026-08-07 14:30:00,26,26.8,22.9,9.7,18.3,31.4,8,0,0.3,0.8,105,156.5,1176.6,83,4,437.5,26.2,80,27,1,277,6.1,1,1,22.5
2026-08-07T14:25:00+05:30,2026-08-07 14:25:00,25.4,26.2,22.7,9.7,16.6,31.4,273,0,0.3,0.8,105,156.5,1176.6,85,1,172.3,26.2,80,27,1,273,6.1,1,1,22.5
2026-08-07T14:20:00+05:30,2026-08-07 14:20:00,25.3,26.1,22.6,14.3,23.8,31.4,268,0,0.3,0.8,105,156.5,1176.6,85,1,198.4,26.3,80,27.1,1,268,4,1,1,22.6
2026-08-07T14:15:00+05:30,2026-08-07 14:15:00,25.2,26.1,23.1,4,7.2,31.4,310,0,0.3,0.8,105,156.5,1176.6,88,1,199.9,26.3,80,27.1,1,272,6.1,1,1,22.6
2026-08-07T14:10:00+05:30,2026-08-07 14:10:00,25.2,26.1,22.9,9.7,25.6,31.4,279,1.8,0.3,0.8,105,156.5,1176.6,87,2,221,26.4,80,27.2,1,273,4.3,1,1,22.7
2026-08-07T14:05:00+05:30,2026-08-07 14:05:00,25.8,26.7,23.3,1.4,7.2,31.4,252,1.8,0.3,0.8,105,156.5,1176.6,86,0,31.2,26.4,80,27.2,1,292,4,1,1,22.7
2026-08-07T14:00:00+05:30,2026-08-07 14:00:00,26.4,27.3,23.3,5.5,7.2,31.4,306,0,0,0.5,104.7,156.2,1176.3,83,0,38.1,26.4,80,27.2,1,287,5.8,1,1,22.7
2026-08-07T13:55:00+05:30,2026-08-07 13:55:00,26.7,29.2,23.2,6.1,9.3,31.4,263,0,0,0.5,104.7,156.2,1176.3,81,1,162.3,26.4,80,27.2,1,280,5.8,1,1,22.7
2026-08-07T13:50:00+05:30,2026-08-07 13:50:00,26.7,29.3,23.4,1.1,9.3,31.4,281,0,0,0.5,104.7,156.2,1176.3,82,2,245.2,26.4,80,27.2,1,281,5.5,1,1,22.7
2026-08-07T13:45:00+05:30,2026-08-07 13:45:00,26.8,29.3,23,6.4,9.3,31.4,321,0,0,0.5,104.7,156.2,1176.3,80,2,299.8,26.4,80,27.2,1,310,5.5,1,1,22.7
2026-08-07T13:40:00+05:30,2026-08-07 13:40:00,26.5,27.3,23,6.9,13,31.4,244,0,0,0.5,104.7,156.2,1176.3,81,2,282.1,26.4,80,27.2,1,280,5,1,1,22.7
2026-08-07T13:35:00+05:30,2026-08-07 13:35:00,26.7,29.2,23.2,0.3,3.5,31.4,332,0,0,0.5,104.7,156.2,1176.3,81,2,303.1,26.4,80,27.2,1,286,5,1,1,22.7
2026-08-07T13:30:00+05:30,2026-08-07 13:30:00,26.4,27.2,22.9,2.1,18.3,31.4,286,0,0,0.5,104.7,156.2,1176.3,81,2,273.7,26.4,80,27.2,1,286,6.4,1,1,22.7
2026-08-07T13:25:00+05:30,2026-08-07 13:25:00,26.3,27.1,23,6.1,11.1,31.4,262,0,0,0.5,104.7,156.2,1176.3,82,3,382.8,26.4,80,27.2,1,272,4.3,1,1,22.7
2026-08-07T13:20:00+05:30,2026-08-07 13:20:00,26.4,27.3,23.3,0,3.5,31.4,285,0,0,0.5,104.7,156.2,1176.3,83,1,156.8,26.3,80,27.1,1,301,3.2,1,1,22.6
2026-08-07T13:15:00+05:30,2026-08-07 13:15:00,26.6,27.5,23.3,1.8,3.5,31.4,275,0,0,0.5,104.7,156.2,1176.3,82,1,137.1,26.3,80,27.1,1,267,4.3,1,1,22.6
2026-08-07T13:10:00+05:30,2026-08-07 13:10:00,26.7,29.3,23.4,5.5,13,31.4,235,0,0,0.5,104.7,156.2,1176.3,82,2,211.5,26.3,80,27.1,1,262,5.5,1,1,22.6
2026-08-07T13:05:00+05:30,2026-08-07 13:05:00,27,29.8,23.5,9.3,14.8,31.4,251,0,0,0.5,104.7,156.2,1176.3,81,1,182.8,26.3,80,27.1,1,282,5.8,1,1,22.6
2026-08-07T13:00:00+05:30,2026-08-07 13:00:00,26.7,29.3,23.4,2.1,9.3,31.4,286,0,0,0.5,104.7,156.2,1176.3,82,4,437.9,26.2,80,27,1,282,9.3,1,1,22.5
2026-08-07T12:55:00+05:30,2026-08-07 12:55:00,26.6,27.5,23.3,15.1,29.5,31.4,264,0,0,0.5,104.7,156.2,1176.3,82,5,514.3,26.2,80,27,1,283,9.7,1,1,22.5
2026-08-07T12:50:00+05:30,2026-08-07 12:50:00,27,29.7,23.2,13,27.7,31.4,278,0,0,0.5,104.7,156.2,1176.3,80,4,418.4,26.1,81,26.9,1,283,4,1,1,22.6
2026-08-07T12:45:00+05:30,2026-08-07 12:45:00,26.7,29.3,23.4,5.5,9.3,31.4,292,0,0,0.5,104.7,156.2,1176.3,82,3,340.4,26.1,81,26.9,1,266,4.7,1,1,22.6
2026-08-07T12:40:00+05:30,2026-08-07 12:40:00,26.7,29.2,23.2,6.1,18.3,31.4,219,0,0,0.5,104.7,156.2,1176.3,81,2,307.8,26,81,26.8,1,274,6.4,1,1,22.5
2026-08-07T12:35:00+05:30,2026-08-07 12:35:00,26.6,27.5,23.3,13.7,16.6,31.4,295,0,0,0.5,104.7,156.2,1176.3,82,3,387.6,26,81,26.8,1,272,6.4,1,1,22.5
2026-08-07T12:30:00+05:30,2026-08-07 12:30:00,26.2,27.1,23.1,4.7,9.3,31.4,242,0,0,0.5,104.7,156.2,1176.3,83,3,367.3,26,81,26.8,1,272,5.8,1,1,22.5
2026-08-07T12:25:00+05:30,2026-08-07 12:25:00,26.3,27.2,23.4,3.5,13,31.4,257,0,0,0.5,104.7,156.2,1176.3,84,2,278.7,25.9,81,26.7,1,257,5.5,1,1,22.4
2026-08-07T12:20:00+05:30,2026-08-07 12:20:00,26.3,27.1,23.2,14.8,18.3,31.4,292,0,0,0.5,104.7,156.2,1176.3,83,3,351.3,25.9,81,26.7,1,263,4.3,1,1,22.4
2026-08-07T12:15:00+05:30,2026-08-07 12:15:00,26.2,27.1,23.3,0,3.5,31.4,355,0,0,0.5,104.7,156.2,1176.3,84,2,287.8,25.9,81,26.7,1,266,5.5,1,1,22.4
2026-08-07T12:10:00+05:30,2026-08-07 12:10:00,26.2,27.1,23.3,4.7,11.1,31.4,207,0,0,0.5,104.7,156.2,1176.3,84,2,262,25.8,81,26.5,1,283,5,1,1,22.3
2026-08-07T12:05:00+05:30,2026-08-07 12:05:00,25.8,26.6,23.1,5,9.3,31.4,1,0,0,0.5,104.7,156.2,1176.3,85,4,419.2,25.8,81,26.5,1,279,3.5,1,1,22.3
2026-08-07T12:00:00+05:30,2026-08-07 12:00:00,25.9,26.8,23.4,0.3,5.5,31.4,199,0,0,0.5,104.7,156.2,1176.3,86,1,160.5,25.7,81,26.4,1,267,3.5,1,1,22.2
2026-08-07T11:55:00+05:30,2026-08-07 11:55:00,26,26.8,23.1,4.7,11.1,31.4,314,0,0,0.5,104.7,156.2,1176.3,84,1,153.8,25.7,81,26.4,1,287,3.5,1,1,22.2
2026-08-07T11:50:00+05:30,2026-08-07 11:50:00,26.2,27.1,23.1,5.5,13,31.4,320,0,0,0.5,104.7,156.2,1176.3,83,2,255,25.7,81,26.4,1,287,5.5,1,1,22.2
2026-08-07T11:45:00+05:30,2026-08-07 11:45:00,26.1,27,23.2,5.5,18.3,31.4,272,0,0,0.5,104.7,156.2,1176.3,84,3,351.6,25.6,81,26.3,1,282,6.1,1,1,22.1
2026-08-07T11:40:00+05:30,2026-08-07 11:40:00,25.8,26.6,22.9,10.1,20.1,31.4,227,0,0,0.5,104.7,156.2,1176.3,84,3,378.6,25.6,81,26.3,1,299,4,1,1,22.1
2026-08-07T11:35:00+05:30,2026-08-07 11:35:00,25.8,26.6,23.1,0,5.5,31.4,334,0,0,0.5,104.7,156.2,1176.3,85,2,257.9,25.6,81,26.3,1,303,2.6,1,1,22.1
2026-08-07T11:30:00+05:30,2026-08-07 11:30:00,25.6,26.4,22.9,1.8,9.3,31.4,267,0,0,0.5,104.7,156.2,1176.3,85,2,253.2,25.6,81,26.3,1,320,1.4,1,1,22.1
2026-08-07T11:26:00+05:30,2026-08-07 11:26:00,25.5,26.3,22.8,5.8,11.1,31.4,271,0,0,0.5,104.7,156.2,1176.3,85,1,168.9,25.5,81,26.2,1,291,2.1,1,1,22
