"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Absolute Pressure (hPa)","Outdoor Battery","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2025-01-31T23:55:00+05:30,2025-01-31 23:55:00,23.5,24.3,22.3,3.2,5.5,25.6,332,0,0,0,0,28.9,28.9,1014.3,93,0,0,24.1,43,981.6,1,1,23.7,10.7
2025-01-31T23:50:00+05:30,2025-01-31 23:50:00,23.5,24.3,22.3,4,5.5,25.6,210,0,0,0,0,28.9,28.9,1014.5,93,0,0,24.1,43,981.8,1,1,23.7,10.7
2025-01-31T23:45:00+05:30,2025-01-31 23:45:00,23.5,24.4,22.5,1.8,3.5,25.6,350,0,0,0,0,28.9,28.9,1014.5,94,0,0,24.2,43,981.8,1,1,23.8,10.8
2025-01-31T23:40:00+05:30,2025-01-31 23:40:00,23.6,24.5,22.4,1.8,3.5,25.6,353,0,0,0,0,28.9,28.9,1014.6,93,0,0,24.2,43,981.9,1,1,23.8,10.8
2025-01-31T23:35:00+05:30,2025-01-31 23:35:00,23.5,24.3,22.3,6.4,9.3,25.6,30,0,0,0,0,28.9,28.9,1014.4,93,0,0,24.2,43,981.7,1,1,23.8,10.8
2025-01-31T23:30:00+05:30,2025-01-31 23:30:00,23.4,24.2,22.2,4,5.5,25.6,2,0,0,0,0,28.9,28.9,1014.8,93,0,0,24.2,43,982.1,1,1,23.8,10.8
2025-01-31T23:25:00+05:30,2025-01-31 23:25:00,23.5,24.4,22.7,1.4,1.8,25.6,334,0,0,0,0,28.9,28.9,1014.7,95,0,0,24.2,43,982,1,1,23.8,10.8
2025-01-31T23:20:00+05:30,2025-01-31 23:20:00,23.6,24.5,22.6,1.4,1.8,25.6,354,0,0,0,0,28.9,28.9,1014.7,94,0,0,24.3,43,982,1,1,23.9,10.9
2025-01-31T23:15:00+05:30,2025-01-31 23:15:00,23.7,24.6,22.5,1.1,1.8,25.6,322,0,0,0,0,28.9,28.9,1014.6,93,0,0,24.3,43,981.9,1,1,23.9,10.9
2025-01-31T23:10:00+05:30,2025-01-31 23:10:00,23.7,24.6,22.5,1.8,1.8,25.6,9,0,0,0,0,28.9,28.9,1014.6,93,0,0,24.3,43,981.9,1,1,23.9,10.9
2025-01-31T23:05:00+05:30,2025-01-31 23:05:00,23.6,24.5,22.6,1.4,1.8,25.6,356,0,0,0,0,28.9,28.9,1014.7,94,0,0,24.4,44,982,1,1,24.1,11.3
2025-01-31T23:00:00+05:30,2025-01-31 23:00:00,23.6,24.5,22.6,1.8,1.8,25.6,13,0,0,0,0,28.9,28.9,1014.8,94,0,0,24.4,44,982.1,1,1,24.1,11.3
2025-01-31T22:55:00+05:30,2025-01-31 22:55:00,23.6,24.5,22.6,1.8,1.8,25.6,314,0,0,0,0,28.9,28.9,1014.6,94,0,0,24.4,44,981.9,1,1,24.1,11.3
2025-01-31T22:50:00+05:30,2025-01-31 22:50:00,23.6,24.5,22.6,0.3,1.8,25.6,337,0,0,0,0,28.9,28.9,1014.8,94,0,0,24.5,44,982.1,1,1,24.2,11.4
2025-01-31T22:45:00+05:30,2025-01-31 22:45:00,23.7,24.6,22.9,1.4,1.8,25.6,338,0,0,0,0,28.9,28.9,1014.8,95,0,0,24.6,44,982.1,1,1,24.3,11.6
2025-01-31T22:40:00+05:30,2025-01-31 22:40:00,23.9,24.8,23,1.1,1.8,25.6,347,0,0,0,0,28.9,28.9,1014.9,95,0,0,24.6,44,982.2,1,1,24.3,11.6
2025-01-31T22:35:00+05:30,2025-01-31 22:35:00,24,24.9,22.8,3.5,5.5,25.6,228,0,0,0,0,28.9,28.9,1014.6,93,0,0,24.6,45,981.9,1,1,24.3,11.9
2025-01-31T22:30:00+05:30,2025-01-31 22:30:00,24.1,25,22.9,3.2,5.5,25.6,25,0,0,0,0,28.9,28.9,1014.7,93,0,0,24.6,45,982,1,1,24.3,11.9
2025-01-31T22:25:00+05:30,2025-01-31 22:25:00,24.2,25.1,23,1.4,3.5,25.6,321,0,0,0,0,28.9,28.9,1014.8,93,0,0,24.6,45,982.1,1,1,24.3,11.9
2025-01-31T22:20:00+05:30,2025-01-31 22:20:00,24.1,25,22.7,4,5.5,25.6,64,0,0,0,0,28.9,28.9,1014.6,92,0,0,24.6,46,981.9,1,1,24.3,12.2
2025-01-31T22:15:00+05:30,2025-01-31 22:15:00,24.2,25.1,23,3.2,3.5,25.6,338,0,0,0,0,28.9,28.9,1014.6,93,0,0,24.6,46,981.9,1,1,24.3,12.2
2025-01-31T22:10:00+05:30,2025-01-31 22:10:00,24.1,25,22.7,4,5.5,25.6,53,0,0,0,0,28.9,28.9,1014.5,92,0,0,24.6,46,981.8,1,1,24.3,12.2
2025-01-31T22:05:00+05:30,2025-01-31 22:05:00,24,24.9,23,2.1,3.5,25.6,347,0,0,0,0,28.9,28.9,1014.8,94,0,0,24.6,46,982.1,1,1,24.3,12.2
2025-01-31T22:00:00+05:30,2025-01-31 22:00:00,24.1,25,23.1,4.3,7.2,25.6,320,0,0,0,0,28.9,28.9,1014.7,94,0,0,24.7,46,982,1,1,24.4,12.3
2025-01-31T21:55:00+05:30,2025-01-31 21:55:00,24.1,25,23.1,3.2,3.5,25.6,246,0,0,0,0,28.9,28.9,1014.6,94,0,0,24.7,47,981.9,1,1,24.5,12.7
2025-01-31T21:50:00+05:30,2025-01-31 21:50:00,24,24.9,23,5.5,9.3,25.6,116,0,0,0,0,28.9,28.9,1014.8,94,0,0,24.8,47,982.1,1,1,24.6,12.7
2025-01-31T21:45:00+05:30,2025-01-31 21:45:00,24.2,25.2,23.4,0,0,25.6,344,0,0,0,0,28.9,28.9,1014.7,95,0,0,24.8,47,982,1,1,24.6,12.7
2025-01-31T21:40:00+05:30,2025-01-31 21:40:00,24.3,25.2,23.2,1.4,1.8,25.6,330,0,0,0,0,28.9,28.9,1014.6,94,0,0,24.8,46,981.9,1,1,24.5,12.4
2025-01-31T21:35:00+05:30,2025-01-31 21:35:00,24.3,25.2,23.1,1.4,1.8,25.6,341,0,0,0,0,28.9,28.9,1014.5,93,0,0,24.7,46,981.8,1,1,24.4,12.3
2025-01-31T21:30:00+05:30,2025-01-31 21:30:00,24.3,25.2,23.1,1.8,3.5,25.6,78,0,0,0,0,28.9,28.9,1014.6,93,0,0,24.8,47,981.9,1,1,24.6,12.7
2025-01-31T21:26:00+05:30,2025-01-31 21:26:00,24.1,25,23.1,1.4,3.5,25.6,326,0,0,0,0,28.9,28.9,1014.3,94,0,0,24.8,47,981.6,1,1,24.6,12.7
2025-01-31T21:20:00+05:30,2025-01-31 21:20:00,24,24.9,23.1,2.1,3.5,25.6,65,0,0,0,0,28.9,28.9,1014.5,95,0,0,24.9,48,981.8,1,1,24.7,13.1
2025-01-31T21:16:00+05:30,2025-01-31 21:16:00,24.1,25.1,23.4,4,5.5,25.6,52,0,0,0,0,28.9,28.9,1014.3,96,0,0,24.9,48,981.6,1,1,24.7,13.1
2025-01-31T21:10:00+05:30,2025-01-31 21:10:00,23.9,24.8,23.2,1.4,1.8,25.6,308,0,0,0,0,28.9,28.9,1014.5,96,0,0,24.9,49,981.8,1,1,24.7,13.4
2025-01-31T21:05:00+05:30,2025-01-31 21:05:00,24,25,23.3,2.1,3.5,25.6,305,0,0,0,0,28.9,28.9,1014.1,96,0,0,25,49,981.4,1,1,24.8,13.6
2025-01-31T21:02:00+05:30,2025-01-31 21:02:00,24.2,25.2,23.5,1.1,1.8,25.6,340,0,0,0,0,28.9,28.9,1014.2,96,0,0,25,50,981.5,1,1,24.9,13.8
2025-01-31T20:55:00+05:30,2025-01-31 20:55:00,24.2,25.2,23.4,1.8,3.5,25.6,44,0,0,0,0,28.9,28.9,1014,95,0,0,25.1,51,981.3,1,1,25,14.3
2025-01-31T20:50:00+05:30,2025-01-31 20:50:00,24.1,25.1,23.3,3.5,5.5,25.6,238,0,0,0,0,28.9,28.9,1014,95,0,0,25.2,51,981.3,1,1,25.1,14.3
2025-01-31T20:45:00+05:30,2025-01-31 20:45:00,24.2,25.2,23.5,1.8,1.8,25.6,327,0,0,0,0,28.9,28.9,1013.8,96,0,0,25.2,52,981.1,1,1,25.2,14.7
2025-01-31T20:40:00+05:30,2025-01-31 20:40:00,24.1,25.1,23.3,2.1,3.5,25.6,2,0,0,0,0,28.9,28.9,1013.9,95,0,0,25.3,52,981.2,1,1,25.2,14.7
2025-01-31T20:35:00+05:30,2025-01-31 20:35:00,24,25,23.3,6.1,7.2,25.6,278,0,0,0,0,28.9,28.9,1013.7,96,0,0,25.4,53,981,1,1,25.4,15.1
2025-01-31T20:30:00+05:30,2025-01-31 20:30:00,24,25,23.5,0.6,1.8,25.6,332,0,0,0,0,28.9,28.9,1013.8,97,0,0,25.5,54,981.1,1,1,25.5,15.5
2025-01-31T20:25:00+05:30,2025-01-31 20:25:00,24.2,25.2,23.7,2.1,3.5,25.6,334,0,0,0,0,28.9,28.9,1013.5,97,0,0,25.6,55,980.8,1,1,25.7,15.9
2025-01-31T20:20:00+05:30,2025-01-31 20:20:00,24,25,23.5,1.8,1.8,25.6,353,0,0,0,0,28.9,28.9,1013.5,97,0,0,25.7,57,980.8,1,1,25.8,16.6
2025-01-31T20:15:00+05:30,2025-01-31 20:15:00,24,25,23.5,1.4,1.8,25.6,332,0,0,0,0,28.9,28.9,1013.6,97,0,0,25.9,59,980.9,1,1,26.1,17.3
2025-01-31T20:10:00+05:30,2025-01-31 20:10:00,24.1,25.1,23.8,0.6,1.8,25.6,333,0,0,0,0,28.9,28.9,1013.5,98,0,0,25.9,61,980.8,1,1,26.1,17.8
2025-01-31T20:05:00+05:30,2025-01-31 20:05:00,24,25,23.7,2.1,3.5,25.6,350,0,0,0,0,28.9,28.9,1013.3,98,0,0,25.6,63,980.6,1,1,25.9,18.1
2025-01-31T20:00:00+05:30,2025-01-31 20:00:00,24,25,23.7,1.4,1.8,25.6,325,0,0,0,0,28.9,28.9,1013.2,98,0,0,25.5,63,980.5,1,1,25.8,17.9
2025-01-31T19:55:00+05:30,2025-01-31 19:55:00,23.9,24.9,23.6,0,0,25.6,343,0,0,0,0,28.9,28.9,1013.3,98,0,0,25.5,58,980.6,1,1,25.6,16.6
2025-01-31T19:50:00+05:30,2025-01-31 19:50:00,24.1,25.1,23.8,1.4,1.8,25.6,337,0,0,0,0,28.9,28.9,1013.1,98,0,0,25.5,55,980.4,1,1,25.6,15.8
2025-01-31T19:45:00+05:30,2025-01-31 19:45:00,24.3,25.3,23.9,2.1,3.5,25.6,338,0,0,0,0,28.9,28.9,1013,98,0,0,25.6,55,980.3,1,1,25.7,15.9
2025-01-31T19:40:00+05:30,2025-01-31 19:40:00,24.4,25.4,23.9,0,0,25.6,336,0,0,0,0,28.9,28.9,1012.8,97,0,0,25.8,55,980.1,1,1,25.8,16.1
2025-01-31T19:35:00+05:30,2025-01-31 19:35:00,24.3,25.3,23.9,0.3,1.8,25.6,345,0,0,0,0,28.9,28.9,1012.9,98,0,0,25.9,56,980.2,1,1,26,16.4
2025-01-31T19:30:00+05:30,2025-01-31 19:30:00,24.4,25.4,24.1,0.6,1.8,25.6,339,0,0,0,0,28.9,28.9,1013,98,0,0,26.3,55,980.3,1,1,26.4,16.5
2025-01-31T19:25:00+05:30,2025-01-31 19:25:00,24.4,25.4,24.1,0.3,1.8,25.6,349,0,0,0,0,28.9,28.9,1012.9,98,0,0,26.7,54,980.2,1,1,27.4,16.6
2025-01-31T19:20:00+05:30,2025-01-31 19:20:00,24.4,25.4,24.1,1.8,1.8,25.6,57,0,0,0,0,28.9,28.9,1012.8,98,0,0,26.7,52,980.1,1,1,27.3,16.1
2025-01-31T19:15:00+05:30,2025-01-31 19:15:00,24.6,25.7,24.3,0,0,25.6,345,0,0,0,0,28.9,28.9,1012.8,98,0,0,26.5,52,980.1,1,1,26.6,15.8
2025-01-31T19:10:00+05:30,2025-01-31 19:10:00,24.6,25.7,24.3,0.3,1.8,25.6,349,0,0,0,0,28.9,28.9,1012.9,98,0,0,26.4,51,980.2,1,1,26.4,15.4
2025-01-31T19:05:00+05:30,2025-01-31 19:05:00,24.6,25.7,24.3,0.3,1.8,25.6,345,0,0,0,0,28.9,28.9,1012.7,98,0,0,26.3,49,980,1,1,26.2,14.7
2025-01-31T19:00:00+05:30,2025-01-31 19:00:00,24.8,25.9,24.4,1.1,1.8,25.6,329,0,0,0,0,28.9,28.9,1012.6,98,0,0,26,48,979.9,1,1,25.9,14.1
2025-01-31T18:55:00+05:30,2025-01-31 18:55:00,24.9,26,24.5,0,0,25.6,347,0,0,0,0,28.9,28.9,1012.7,98,0,0,25.7,47,980,1,1,25.6,13.6
2025-01-31T18:50:00+05:30,2025-01-31 18:50:00,24.8,25.9,24.4,0.3,1.8,25.6,345,0,0,0,0,28.9,28.9,1012.8,98,0,0,25.3,47,980.1,1,1,25.1,13.2
2025-01-31T18:45:00+05:30,2025-01-31 18:45:00,24.9,26,24.5,0.6,1.8,25.6,341,0,0,0,0,28.9,28.9,1012.5,98,0,0,25.1,47,979.8,1,1,24.9,13
2025-01-31T18:40:00+05:30,2025-01-31 18:40:00,25.1,26.2,24.8,0,0,25.6,343,0,0,0,0,28.9,28.9,1012.4,98,0,0,25.1,47,979.7,1,1,24.9,13
2025-01-31T18:35:00+05:30,2025-01-31 18:35:00,25.2,26.3,24.7,2.1,3.5,25.6,1,0,0,0,0,28.9,28.9,1012.4,97,0,0,25.2,48,979.7,1,1,25.1,13.4
2025-01-31T18:30:00+05:30,2025-01-31 18:30:00,25.2,26.3,24.7,1.8,1.8,25.6,353,0,0,0,0,28.9,28.9,1012.5,97,0,0,25.2,47,979.8,1,1,25,13.1
