"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 1 Temperature (°C)","Sensor 1 Humidity (%)","Sensor 1 Feels Like (°C)","Sensor 1 Dew Point (°C)"
2025-10-31T23:55:00+05:30,2025-10-31 23:55:00,60,334.7,59.8,0,0,13,333,0,0,0,0,188.2,1190.2,99,0,0,27.6,70,29.9,21.6
2025-10-31T23:50:00+05:30,2025-10-31 23:50:00,60,334.7,59.8,0,0,13,318,0,0,0,0,188.2,1190.2,99,0,0,27.6,70,29.9,21.6
2025-10-31T23:45:00+05:30,2025-10-31 23:45:00,60,334.7,59.8,0,0,13,315,0,0,0,0,188.2,1190.2,99,0,0,27.6,69,29.8,21.4
2025-10-31T23:40:00+05:30,2025-10-31 23:40:00,60,334.7,59.8,0,0,13,334,0,0,0,0,188.2,1190.2,99,0,0,27.6,69,29.8,21.4
2025-10-31T23:35:00+05:30,2025-10-31 23:35:00,60,334.7,59.8,0,0,13,329,0,0,0,0,188.2,1190.2,99,0,0,27.6,69,29.8,21.4
2025-10-31T23:30:00+05:30,2025-10-31 23:30:00,60,334.7,59.8,0,0,13,297,0,0,0,0,188.2,1190.2,99,0,0,27.7,69,30,21.5
2025-10-31T23:25:00+05:30,2025-10-31 23:25:00,60,334.7,59.8,0,0,13,323,0,0,0,0,188.2,1190.2,99,0,0,27.7,69,30,21.5
2025-10-31T23:21:00+05:30,2025-10-31 23:21:00,60,334.7,59.8,0,0,13,325,0,0,0,0,188.2,1190.2,99,0,0,27.8,69,30.1,21.6
2025-10-31T23:15:00+05:30,2025-10-31 23:15:00,60,334.7,59.8,0,0,13,336,0,0,0,0,188.2,1190.2,99,0,0,27.8,69,30.1,21.6
2025-10-31T23:10:00+05:30,2025-10-31 23:10:00,60,334.7,59.8,0,0,13,336,0,0,0,0,188.2,1190.2,99,0,0,27.8,69,30.1,21.6
2025-10-31T23:05:00+05:30,2025-10-31 23:05:00,60,334.7,59.8,0,0,13,306,0,0,0,0,188.2,1190.2,99,0,0,27.8,69,30.1,21.6
2025-10-31T23:00:00+05:30,2025-10-31 23:00:00,60,334.7,59.8,0,0,13,330,0,0,0,0,188.2,1190.2,99,0,0,27.8,69,30.1,21.6
2025-10-31T22:55:00+05:30,2025-10-31 22:55:00,60,334.7,59.8,0,0,13,335,0,0,0,0,188.2,1190.2,99,0,0,27.9,69,30.3,21.7
