"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 1 Temperature (°C)","Sensor 1 Humidity (%)","Sensor 1 Feels Like (°C)","Sensor 1 Dew Point (°C)"
2025-12-31T23:55:00+05:30,2025-12-31 23:55:00,21.7,22.5,21.6,0,0,13,35,1.8,9.4,9.4,9.4,117.3,1308.6,99,0,0,25.8,74,26.3,20.8
2025-12-31T23:50:00+05:30,2025-12-31 23:50:00,21.7,22.5,21.6,0,0,13,36,1.8,9.4,9.4,9.4,117.3,1308.6,99,0,0,25.8,74,26.3,20.8
2025-12-31T23:46:00+05:30,2025-12-31 23:46:00,21.8,22.6,21.6,0,0,13,30,3,9.1,9.1,9.1,117.1,1308.1,99,0,0,25.8,74,26.3,20.8
2025-12-31T23:40:00+05:30,2025-12-31 23:40:00,21.8,22.6,21.6,0,0,13,34,4.8,8.9,8.9,8.9,116.8,1308.1,99,0,0,25.8,74,26.3,20.8
2025-12-31T23:35:00+05:30,2025-12-31 23:35:00,21.9,22.7,21.7,0,0,13,32,3,8.4,8.4,8.4,116.3,1307.6,99,0,0,25.9,74,26.4,20.9
2025-12-31T23:30:00+05:30,2025-12-31 23:30:00,21.8,22.6,21.6,0,0,13,47,0,7.9,7.9,7.9,115.8,1307.1,99,0,0,25.9,74,26.4,20.9
2025-12-31T23:25:00+05:30,2025-12-31 23:25:00,21.8,22.6,21.6,0,0,13,67,0,7.9,7.9,7.9,115.8,1307.1,99,0,0,25.9,74,26.4,20.9
2025-12-31T23:20:00+05:30,2025-12-31 23:20:00,21.9,22.7,21.7,0,0,13,41,0,7.9,7.9,7.9,115.8,1307.1,99,0,0,26,74,26.6,21
2025-12-31T23:15:00+05:30,2025-12-31 23:15:00,21.9,22.7,21.7,0,0,13,28,1.8,7.9,7.9,7.9,115.8,1307.1,99,0,0,26,74,26.6,21
2025-12-31T23:10:00+05:30,2025-12-31 23:10:00,21.9,22.7,21.7,0,0,13,44,1.8,7.9,7.9,7.9,115.8,1307.1,99,0,0,26,74,26.6,21
2025-12-31T23:05:00+05:30,2025-12-31 23:05:00,22,22.8,21.8,0,0,13,45,1.3,7.6,7.6,7.6,115.6,1306.6,99,0,0,26,74,26.6,21
2025-12-31T23:00:00+05:30,2025-12-31 23:00:00,22,22.8,21.8,0,0,13,30,7.1,7.6,7.6,7.6,115.6,1306.6,99,0,0,26,74,26.6,21
2025-12-31T22:55:00+05:30,2025-12-31 22:55:00,22,22.8,21.8,0,0,13,39,7.9,7.4,7.4,7.4,115.3,1306.6,99,0,0,26.1,74,26.7,21.1
2025-12-31T22:50:00+05:30,2025-12-31 22:50:00,22,22.8,21.8,0,0,13,81,3.6,6.3,6.3,6.3,114.3,1305.6,99,0,0,26.1,74,26.7,21.1
2025-12-31T22:45:00+05:30,2025-12-31 22:45:00,22,22.8,21.8,0,0,13,36,3,6.1,6.1,6.1,114,1305.3,99,0,0,26.1,74,26.7,21.1
2025-12-31T22:40:00+05:30,2025-12-31 22:40:00,22,22.8,21.8,0,0,13,24,1.8,5.6,5.6,5.6,113.5,1304.8,99,0,0,26.1,74,26.7,21.1
2025-12-31T22:35:00+05:30,2025-12-31 22:35:00,22.1,23,21.9,0,0,13,49,3,5.3,5.3,5.3,113.3,1304.3,99,0,0,26.1,74,26.7,21.1
2025-12-31T22:30:00+05:30,2025-12-31 22:30:00,22.1,23,21.9,0,0,13,24,7.1,5.3,5.3,5.3,113.3,1304.3,99,0,0,26.1,74,26.7,21.1
2025-12-31T22:25:00+05:30,2025-12-31 22:25:00,22.1,23,21.9,0,0,13,44,7.9,4.6,4.6,4.6,112.5,1303.8,99,0,0,26.1,74,26.7,21.1
2025-12-31T22:20:00+05:30,2025-12-31 22:20:00,22.1,23,21.9,0,0,13,40,4.8,3.8,3.8,3.8,111.8,1303,99,0,0,26.1,74,26.7,21.1
2025-12-31T22:15:00+05:30,2025-12-31 22:15:00,22,22.8,21.8,0,0,13,52,4.8,3.3,3.3,3.3,111.3,1302.5,99,0,0,26.1,74,26.7,21.1
