"Date","Simple Date","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 1 Temperature (°C)","Sensor 1 Humidity (%)","Sensor 1 Heat Index (°C)","Sensor 1 Dew Point (°C)"
2026-06-30T23:55:00+05:30,2026-06-30 23:55:00,0,3.5,27.7,46,0,0,0.5,22.1,69.1,611.9,0,0,26.5,70,27.1,20.6
2026-06-30T23:50:00+05:30,2026-06-30 23:50:00,0.6,3.5,27.7,50,0,0,0.5,22.1,69.1,611.9,0,0,26.6,70,27.2,20.7
2026-06-30T23:45:00+05:30,2026-06-30 23:45:00,0.3,5.5,27.7,58,0,0,0.5,22.1,69.1,611.9,0,0,26.6,70,27.2,20.7
2026-06-30T23:40:00+05:30,2026-06-30 23:40:00,4.7,14.8,27.7,65,0,0,0.5,22.1,69.1,611.9,0,0,26.6,70,27.2,20.7
2026-06-30T23:35:00+05:30,2026-06-30 23:35:00,0,9.3,27.7,63,0,0,0.5,22.1,69.1,611.9,0,0,26.6,70,27.2,20.7
2026-06-30T23:31:00+05:30,2026-06-30 23:31:00,0,0,27.7,55,0,0,0.5,22.1,69.1,611.9,0,0,26.6,70,27.2,20.7
2026-06-30T23:25:00+05:30,2026-06-30 23:25:00,2.9,3.5,27.7,63,0,0,0.5,22.1,69.1,611.9,0,0,26.6,70,27.2,20.7
2026-06-30T23:20:00+05:30,2026-06-30 23:20:00,1.4,5.5,27.7,85,0,0,0.5,22.1,69.1,611.9,0,0,26.7,70,28.4,20.8
2026-06-30T23:15:00+05:30,2026-06-30 23:15:00,0,1.8,27.7,55,0,0,0.5,22.1,69.1,611.9,0,0,26.7,70,28.4,20.8
2026-06-30T23:10:00+05:30,2026-06-30 23:10:00,0,3.5,27.7,50,0,0,0.5,22.1,69.1,611.9,0,0,26.6,70,27.2,20.7
2026-06-30T23:05:00+05:30,2026-06-30 23:05:00,1.1,5.5,27.7,42,0,0,0.5,22.1,69.1,611.9,0,0,26.7,70,28.4,20.8
2026-06-30T23:00:00+05:30,2026-06-30 23:00:00,0,7.2,27.7,54,0,0,0.5,22.1,69.1,611.9,0,0,26.7,70,28.4,20.8
2026-06-30T22:55:00+05:30,2026-06-30 22:55:00,0,7.2,27.7,59,0,0,0.5,22.1,69.1,611.9,0,0,26.7,70,28.4,20.8
2026-06-30T22:50:00+05:30,2026-06-30 22:50:00,0,0,27.7,56,0,0,0.5,22.1,69.1,611.9,0,0,26.7,70,28.4,20.8
2026-06-30T22:45:00+05:30,2026-06-30 22:45:00,0,0,27.7,55,0,0,0.5,22.1,69.1,611.9,0,0,26.7,70,28.4,20.8
2026-06-30T22:40:00+05:30,2026-06-30 22:40:00,6.4,7.2,27.7,48,0,0,0.5,22.1,69.1,611.9,0,0,26.7,70,28.4,20.8
2026-06-30T22:35:00+05:30,2026-06-30 22:35:00,0,0,27.7,61,0,0,0.5,22.1,69.1,611.9,0,0,26.7,70,28.4,20.8
2026-06-30T22:30:00+05:30,2026-06-30 22:30:00,0,3.5,27.7,69,0,0,0.5,22.1,69.1,611.9,0,0,26.7,70,28.4,20.8
2026-06-30T22:26:00+05:30,2026-06-30 22:26:00,1.1,3.5,27.7,63,0,0,0.5,22.1,69.1,611.9,0,0,26.7,69,28.3,20.6
