"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 1 Temperature (°C)","Sensor 1 Humidity (%)","Sensor 1 Heat Index (°C)","Sensor 1 Dew Point (°C)"
2026-07-31T16:45:00+05:30,2026-07-31 16:45:00,29,33.3,23.7,0,3.5,23.8,94,0,0,0,1.5,11.2,623.1,73,2,212.9,30.4,63,34.3,22.6
2026-07-31T16:40:00+05:30,2026-07-31 16:40:00,28.9,33,23.5,0,0,23.8,102,0,0,0,1.5,11.2,623.1,73,1,187.4,30.4,63,34.3,22.6
2026-07-31T16:35:00+05:30,2026-07-31 16:35:00,29.9,35,24,0.3,3.5,23.8,94,0,0,0,1.5,11.2,623.1,71,2,245.8,30.4,63,34.3,22.6
2026-07-31T16:30:00+05:30,2026-07-31 16:30:00,28.7,32.7,23.4,0,0,23.8,84,0,0,0,1.5,11.2,623.1,73,3,347.9,30.4,63,34.3,22.6
2026-07-31T16:25:00+05:30,2026-07-31 16:25:00,28.7,32.7,23.4,0,0,23.8,101,0,0,0,1.5,11.2,623.1,73,3,311.3,30.4,63,34.3,22.6
2026-07-31T16:20:00+05:30,2026-07-31 16:20:00,28.8,33,23.7,0,0,23.8,73,0,0,0,1.5,11.2,623.1,74,1,175.5,30.4,63,34.3,22.6
2026-07-31T16:15:00+05:30,2026-07-31 16:15:00,28.4,32.1,23.3,0,0,23.8,63,0,0,0,1.5,11.2,623.1,74,3,323.6,30.3,63,34.1,22.4
2026-07-31T16:10:00+05:30,2026-07-31 16:10:00,28.2,31.9,23.4,0,1.8,23.8,73,0,0,0,1.5,11.2,623.1,75,1,202.6,30.4,62,34.1,22.3
2026-07-31T16:05:00+05:30,2026-07-31 16:05:00,28.5,32.3,23.4,0,9.3,23.8,69,0,0,0,1.5,11.2,623.1,74,1,190.1,30.4,62,34.1,22.3
2026-07-31T16:00:00+05:30,2026-07-31 16:00:00,29,32.9,23.2,0,0,23.8,76,0,0,0,1.5,11.2,623.1,71,0,91.1,30.4,62,34.1,22.3
2026-07-31T15:55:00+05:30,2026-07-31 15:55:00,28.9,32.5,22.9,0,11.1,23.8,93,0,0,0,1.5,11.2,623.1,70,0,72.5,30.4,62,34.1,22.3
2026-07-31T15:50:00+05:30,2026-07-31 15:50:00,29.3,32.9,22.7,0,13,23.8,92,0,0,0,1.5,11.2,623.1,68,1,134.9,30.4,62,34.1,22.3
2026-07-31T15:45:00+05:30,2026-07-31 15:45:00,29.6,33.7,23.1,6.4,9.3,23.8,117,0,0,0,1.5,11.2,623.1,68,2,271.7,30.4,62,34.1,22.3
2026-07-31T15:41:00+05:30,2026-07-31 15:41:00,29.4,33.2,22.9,0,9.3,23.8,75,0,0,0,1.5,11.2,623.1,68,2,301.1,30.4,62,34.1,22.3
2026-07-31T15:35:00+05:30,2026-07-31 15:35:00,29.5,33.6,23.2,6.9,11.1,23.8,71,0,0,0,1.5,11.2,623.1,69,2,234.6,30.4,63,34.3,22.6
2026-07-31T15:30:00+05:30,2026-07-31 15:30:00,29.7,33.9,23.2,2.9,5.5,23.8,84,0,0,0,1.5,11.2,623.1,68,2,279.9,30.4,63,34.3,22.6
2026-07-31T15:25:00+05:30,2026-07-31 15:25:00,29.8,34.1,23.2,0.6,9.3,23.8,86,0,0,0,1.5,11.2,623.1,68,2,267.8,30.4,63,34.3,22.6
2026-07-31T15:20:00+05:30,2026-07-31 15:20:00,30.1,34.8,23.5,5.5,13,23.8,86,0,0,0,1.5,11.2,623.1,68,3,319.4,30.4,63,34.3,22.6
2026-07-31T15:15:00+05:30,2026-07-31 15:15:00,29.7,34.1,23.4,5.5,9.3,23.8,85,0,0,0,1.5,11.2,623.1,69,2,276.4,30.3,62,33.8,22.2
