"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Absolute Pressure (hPa)","Outdoor Battery","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2025-01-31T23:55:00+05:30,2025-01-31 23:55:00,21.9,22.7,21.7,0,0,27.7,45,0,28.9,6.8,28.9,28.9,178.5,1015,99,0,0,22.7,88,930.5,1,1,23.3,20.6
2025-01-31T23:50:00+05:30,2025-01-31 23:50:00,21.9,22.7,21.7,4.7,7.2,27.7,58,0,28.9,6.8,28.9,28.9,178.5,1015.2,99,0,0,22.7,88,930.7,1,1,23.3,20.6
2025-01-31T23:45:00+05:30,2025-01-31 23:45:00,21.9,22.7,21.7,0,0,27.7,71,0,28.9,6.8,28.9,28.9,178.5,1014.8,99,0,0,22.8,88,930.3,1,1,23.4,20.7
2025-01-31T23:40:00+05:30,2025-01-31 23:40:00,22,22.8,21.8,0,0,27.7,115,0,28.9,6.8,28.9,28.9,178.5,1015,99,0,0,22.8,88,930.5,1,1,23.4,20.7
2025-01-31T23:35:00+05:30,2025-01-31 23:35:00,22,22.8,21.8,0,0,27.7,71,0,28.9,6.8,28.9,28.9,178.5,1015.1,99,0,0,22.9,88,930.6,1,1,23.6,20.8
2025-01-31T23:30:00+05:30,2025-01-31 23:30:00,22.1,23,21.9,0.6,3.5,27.7,88,0,28.9,6.8,28.9,28.9,178.5,1015.2,99,0,0,22.8,88,930.7,1,1,23.4,20.7
2025-01-31T23:25:00+05:30,2025-01-31 23:25:00,22,22.8,21.8,8.2,14.8,27.7,53,0,28.9,6.8,28.9,28.9,178.5,1015.4,99,0,0,22.8,88,930.9,1,1,23.4,20.7
2025-01-31T23:20:00+05:30,2025-01-31 23:20:00,22.1,23,21.9,4.7,13,27.7,170,0,28.9,6.8,28.9,28.9,178.5,1015,99,0,0,22.9,88,930.5,1,1,23.6,20.8
2025-01-31T23:15:00+05:30,2025-01-31 23:15:00,22.1,23,21.9,4.7,7.2,27.7,15,0,28.9,6.8,28.9,28.9,178.5,1015.2,99,0,0,22.9,88,930.7,1,1,23.6,20.8
2025-01-31T23:10:00+05:30,2025-01-31 23:10:00,22,22.8,21.8,1.4,3.5,27.7,65,0,28.9,6.8,28.9,28.9,178.5,1015.2,99,0,0,22.8,88,930.7,1,1,23.4,20.7
2025-01-31T23:05:00+05:30,2025-01-31 23:05:00,22,22.8,21.8,6.1,11.1,27.7,171,0,28.9,6.8,28.9,28.9,178.5,1015.3,99,0,0,22.9,88,930.8,1,1,23.6,20.8
2025-01-31T23:00:00+05:30,2025-01-31 23:00:00,22,22.8,21.8,6.4,9.3,27.7,37,0,28.9,6.8,28.9,28.9,178.5,1015.4,99,0,0,22.9,88,930.9,1,1,23.6,20.8
2025-01-31T22:55:00+05:30,2025-01-31 22:55:00,22,22.8,21.8,6.1,11.1,27.7,95,0,28.9,6.8,28.9,28.9,178.5,1015.5,99,0,0,22.9,88,931,1,1,23.6,20.8
2025-01-31T22:50:00+05:30,2025-01-31 22:50:00,22,22.8,21.8,0,0,27.7,63,0,28.9,6.8,28.9,28.9,178.5,1015.4,99,0,0,22.9,88,930.9,1,1,23.6,20.8
2025-01-31T22:45:00+05:30,2025-01-31 22:45:00,22,22.8,21.8,0,0,27.7,207,0,28.9,6.8,28.9,28.9,178.5,1015.4,99,0,0,22.9,88,930.9,1,1,23.6,20.8
2025-01-31T22:40:00+05:30,2025-01-31 22:40:00,22.1,23,21.9,0,0,27.7,56,0,28.9,6.8,28.9,28.9,178.5,1015.6,99,0,0,22.9,88,931.1,1,1,23.6,20.8
2025-01-31T22:35:00+05:30,2025-01-31 22:35:00,22.1,23,21.9,7.9,11.1,27.7,64,0,28.9,6.8,28.9,28.9,178.5,1015.4,99,0,0,22.9,88,930.9,1,1,23.6,20.8
2025-01-31T22:30:00+05:30,2025-01-31 22:30:00,22.2,23.1,22.1,0,0,27.7,57,0,28.9,6.8,28.9,28.9,178.5,1015.6,99,0,0,23,88,931.1,1,1,23.7,20.9
2025-01-31T22:25:00+05:30,2025-01-31 22:25:00,22.1,23,21.9,0,0,27.7,67,0,28.9,6.8,28.9,28.9,178.5,1015.6,99,0,0,22.9,88,931.1,1,1,23.6,20.8
2025-01-31T22:20:00+05:30,2025-01-31 22:20:00,22.2,23.1,22.1,9.7,13,27.7,66,0,28.9,6.8,28.9,28.9,178.5,1015.6,99,0,0,22.9,88,931.1,1,1,23.6,20.8
2025-01-31T22:15:00+05:30,2025-01-31 22:15:00,22.3,23.1,22.1,0,0,27.7,359,0,28.9,6.8,28.9,28.9,178.5,1015.5,99,0,0,22.9,88,931,1,1,23.6,20.8
