"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Absolute Pressure (hPa)","Outdoor Battery","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2024-12-25T01:00:00+05:30,2024-12-25 01:00:00,25,26.1,24.8,0,0,0,326,0,0,0,0,3.4,3331.1,1015.8,99,0,0,28,76,1011.7,1,1,31.5,23.4
2024-12-25T00:55:00+05:30,2024-12-25 00:55:00,25,26.1,24.8,0,0,0,320,0,0,0,0,3.4,3331.1,1015.9,99,0,0,28,76,1011.8,1,1,31.5,23.4
2024-12-25T00:51:00+05:30,2024-12-25 00:51:00,25.1,26.3,24.9,0,0,0,318,0,0,0,0,3.4,3331.1,1016,99,0,0,28,76,1011.9,1,1,31.5,23.4
2024-12-25T00:45:00+05:30,2024-12-25 00:45:00,25.1,26.3,24.9,0,0,0,319,0,0,0,0,3.4,3331.1,1016,99,0,0,28,76,1011.9,1,1,31.5,23.4
2024-12-25T00:40:00+05:30,2024-12-25 00:40:00,25.1,26.3,24.9,0,0,0,319,0,0,0,0,3.4,3331.1,1016.1,99,0,0,28,76,1012,1,1,31.5,23.4
2024-12-25T00:35:00+05:30,2024-12-25 00:35:00,25.1,26.3,24.9,0,0,0,319,0,0,0,0,3.4,3331.1,1016.2,99,0,0,28,76,1012.1,1,1,31.5,23.4
2024-12-25T00:30:00+05:30,2024-12-25 00:30:00,25,26.1,24.8,0,0,0,319,0,0,0,0,3.4,3331.1,1016.2,99,0,0,28.1,76,1012.1,1,1,31.8,23.4
2024-12-25T00:25:00+05:30,2024-12-25 00:25:00,25,26.1,24.8,0,0,20.1,319,0,0,0,0,3.4,3331.1,1016.4,99,0,0,28.1,76,1012.3,1,1,31.8,23.4
2024-12-25T00:20:00+05:30,2024-12-25 00:20:00,25,26.1,24.8,0,0,20.1,319,0,0,0,0,3.4,3331.1,1016.4,99,0,0,28.1,76,1012.3,1,1,31.8,23.4
2024-12-25T00:15:00+05:30,2024-12-25 00:15:00,25,26.1,24.8,0,0,20.1,319,0,0,0,0,3.4,3331.1,1016.3,99,0,0,28.1,76,1012.2,1,1,31.8,23.4
