"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Absolute Pressure (hPa)","Outdoor Battery","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2025-09-30T23:55:00+05:30,2025-09-30 23:55:00,26.4,27.6,26,5.5,5.5,21.9,189,0,0,0,0.9,3.6,3337.7,1012.8,98,0,0,30.2,72,1007.5,1,1,36.1,24.6
2025-09-30T23:50:00+05:30,2025-09-30 23:50:00,26.3,27.5,25.9,0,0,21.9,301,0,0,0,0.9,3.6,3337.7,1012.8,98,0,0,30.2,72,1007.5,1,1,36.1,24.6
2025-09-30T23:45:00+05:30,2025-09-30 23:45:00,26.4,27.6,25.9,0,0,21.9,301,0,0,0,0.9,3.6,3337.7,1012.9,97,0,0,30.2,72,1007.6,1,1,36.1,24.6
2025-09-30T23:40:00+05:30,2025-09-30 23:40:00,26.4,27.6,25.9,0,0,21.9,301,0,0,0,0.9,3.6,3337.7,1012.8,97,0,0,30.2,72,1007.5,1,1,36.1,24.6
2025-09-30T23:35:00+05:30,2025-09-30 23:35:00,26.5,27.7,26,0,0,21.9,301,0,0,0,0.9,3.6,3337.7,1013,97,0,0,30.3,72,1007.7,1,1,36.2,24.7
2025-09-30T23:30:00+05:30,2025-09-30 23:30:00,26.6,27.9,26.1,0,0,21.9,301,0,0,0,0.9,3.6,3337.7,1013.1,97,0,0,30.3,72,1007.8,1,1,36.2,24.7
2025-09-30T23:25:00+05:30,2025-09-30 23:25:00,26.8,31.7,26.3,0,0,21.9,301,0,0,0,0.9,3.6,3337.7,1013.1,97,0,0,30.3,72,1007.8,1,1,36.2,24.7
2025-09-30T23:20:00+05:30,2025-09-30 23:20:00,27,32.2,26.3,0,0,21.9,300,0,0,0,0.9,3.6,3337.7,1013.1,96,0,0,30.4,72,1007.8,1,1,36.6,24.8
2025-09-30T23:15:00+05:30,2025-09-30 23:15:00,27.1,32.5,26.4,0,0,21.9,299,0,0,0,0.9,3.6,3337.7,1013.2,96,0,0,30.4,72,1007.9,1,1,36.6,24.8
2025-09-30T23:10:00+05:30,2025-09-30 23:10:00,27.1,32.5,26.4,0,0,21.9,304,0,0,0,0.9,3.6,3337.7,1013.2,96,0,0,30.5,72,1007.9,1,1,36.8,24.9
