"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Indoor Battery","Absolute Pressure (hPa)","Outdoor Battery","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (km/hr)","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2025-07-31T23:55:00+05:30,2025-07-31 23:55:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.5,,,,27.3,72,1,950.5,,,,29.6,21.8
2025-07-31T23:50:00+05:30,2025-07-31 23:50:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.5,,,,27.4,72,1,950.5,,,,29.7,21.9
2025-07-31T23:45:00+05:30,2025-07-31 23:45:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.4,,,,27.4,72,1,950.4,,,,29.7,21.9
2025-07-31T23:40:00+05:30,2025-07-31 23:40:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.7,,,,27.4,72,1,950.7,,,,29.7,21.9
2025-07-31T23:35:00+05:30,2025-07-31 23:35:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.5,,,,27.5,72,1,950.5,,,,29.9,22
2025-07-31T23:30:00+05:30,2025-07-31 23:30:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.3,,,,27.5,72,1,950.3,,,,29.9,22
2025-07-31T23:25:00+05:30,2025-07-31 23:25:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.6,,,,27.5,72,1,950.6,,,,29.9,22
2025-07-31T23:20:00+05:30,2025-07-31 23:20:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.8,,,,27.6,72,1,950.8,,,,30.2,22.1
2025-07-31T23:15:00+05:30,2025-07-31 23:15:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.9,,,,27.6,72,1,950.9,,,,30.2,22.1
2025-07-31T23:10:00+05:30,2025-07-31 23:10:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.9,,,,27.6,72,1,950.9,,,,30.2,22.1
2025-07-31T23:05:00+05:30,2025-07-31 23:05:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.9,,,,27.6,72,1,950.9,,,,30.2,22.1
2025-07-31T23:00:00+05:30,2025-07-31 23:00:00,,,,,,18.3,,0,0,0,0,118.7,118.7,951.2,,,,27.6,72,1,951.2,,,,30.2,22.1
2025-07-31T22:55:00+05:30,2025-07-31 22:55:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.9,,,,27.7,72,1,950.9,,,,30.4,22.2
2025-07-31T22:50:00+05:30,2025-07-31 22:50:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.9,,,,27.6,72,1,950.9,,,,30.2,22.1
2025-07-31T22:45:00+05:30,2025-07-31 22:45:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.9,,,,27.6,72,1,950.9,,,,30.2,22.1
2025-07-31T22:40:00+05:30,2025-07-31 22:40:00,,,,,,18.3,,0,0,0,0,118.7,118.7,951,,,,27.6,72,1,951,,,,30.2,22.1
2025-07-31T22:35:00+05:30,2025-07-31 22:35:00,,,,,,18.3,,0,0,0,0,118.7,118.7,951.1,,,,27.7,72,1,951.1,,,,30.4,22.2
2025-07-31T22:30:00+05:30,2025-07-31 22:30:00,,,,,,18.3,,0,0,0,0,118.7,118.7,951.1,,,,27.7,72,1,951.1,,,,30.4,22.2
2025-07-31T22:25:00+05:30,2025-07-31 22:25:00,,,,,,18.3,,0,0,0,0,118.7,118.7,951.2,,,,27.7,72,1,951.2,,,,30.4,22.2
2025-07-31T22:20:00+05:30,2025-07-31 22:20:00,,,,,,18.3,,0,0,0,0,118.7,118.7,951.2,,,,27.7,72,1,951.2,,,,30.4,22.2
2025-07-31T22:15:00+05:30,2025-07-31 22:15:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.9,,,,27.7,72,1,950.9,,,,30.4,22.2
2025-07-31T22:10:00+05:30,2025-07-31 22:10:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.9,,,,27.7,72,1,950.9,,,,30.4,22.2
2025-07-31T22:05:00+05:30,2025-07-31 22:05:00,,,,,,18.3,,0,0,0,0,118.7,118.7,950.9,,,,27.7,72,1,950.9,,,,30.4,22.2
2025-07-31T22:00:00+05:30,2025-07-31 22:00:00,,,,,,18.3,,0,0,0,0,118.7,118.7,951.1,,,,27.7,72,1,951.1,,,,30.4,22.2
2025-07-31T21:55:00+05:30,2025-07-31 21:55:00,,,,,,18.3,,0,0,0,0,118.7,118.7,951.2,,,,27.7,72,1,951.2,,,,30.4,22.2
