"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Indoor Battery","Absolute Pressure (hPa)","Indoor Feels Like (°C)","Indoor Dew Point (°C)","Outdoor Battery","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (km/hr)"
2025-11-30T23:55:00+05:30,2025-11-30 23:55:00,19.1,19.1,18.6,0,0,21.9,181,0,0,0,0,788.4,1404.9,953.8,97,0,0,23.8,77,1,953.8,24.2,19.5,1,181,0
2025-11-30T23:50:00+05:30,2025-11-30 23:50:00,19.1,19.1,18.6,0,0,21.9,180,0,0,0,0,788.4,1404.9,953.8,97,0,0,23.9,77,1,953.8,24.3,19.6,1,180,0
2025-11-30T23:45:00+05:30,2025-11-30 23:45:00,19.1,19.1,18.6,0,0,21.9,180,0,0,0,0,788.4,1404.9,953.7,97,0,0,23.9,77,1,953.7,24.3,19.6,1,180,0
2025-11-30T23:40:00+05:30,2025-11-30 23:40:00,19.2,19.2,18.7,0,0,21.9,183,0,0,0,0,788.4,1404.9,953.8,97,0,0,23.9,77,1,953.8,24.3,19.6,1,183,1.1
2025-11-30T23:35:00+05:30,2025-11-30 23:35:00,19.2,19.2,18.7,0.3,1.8,21.9,180,0,0,0,0,788.4,1404.9,954,97,0,0,23.9,77,1,954,24.3,19.6,1,180,1.1
2025-11-30T23:30:00+05:30,2025-11-30 23:30:00,19.2,19.2,18.7,1.4,1.8,21.9,181,0,0,0,0,788.4,1404.9,953.8,97,0,0,23.9,77,1,953.8,24.3,19.6,1,181,1.8
2025-11-30T23:25:00+05:30,2025-11-30 23:25:00,19.2,19.2,18.7,1.8,1.8,21.9,179,0,0,0,0,788.4,1404.9,953.8,97,0,0,24,77,1,953.8,24.4,19.7,1,179,1.8
2025-11-30T23:20:00+05:30,2025-11-30 23:20:00,19.3,19.3,18.8,0.6,1.8,21.9,182,0,0,0,0,788.4,1404.9,953.8,97,0,0,24,77,1,953.8,24.4,19.7,1,182,0
2025-11-30T23:15:00+05:30,2025-11-30 23:15:00,19.3,19.3,18.8,0,0,21.9,182,0,0,0,0,788.4,1404.9,953.8,97,0,0,24,77,1,953.8,24.4,19.7,1,182,0
2025-11-30T23:10:00+05:30,2025-11-30 23:10:00,19.4,19.4,18.9,0,0,21.9,182,0,0,0,0,788.4,1404.9,954.1,97,0,0,24,77,1,954.1,24.4,19.7,1,181,0
2025-11-30T23:05:00+05:30,2025-11-30 23:05:00,19.5,19.5,19,0.6,1.8,21.9,182,0,0,0,0,788.4,1404.9,954,97,0,0,24,77,1,954,24.4,19.7,1,182,0.3
