"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Total Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Avg Wind Direction (10 mins) (°)","Absolute Pressure (hPa)"
2025-10-31T23:55:00+05:30,2025-10-31 23:55:00,22.3,23.1,1.8,1.8,22,250,0,0,0,0,451.1,2241.6,2241.6,960.5,95,239,960.5
2025-10-31T23:50:00+05:30,2025-10-31 23:50:00,22.3,23.1,0,0,22,239,0,0,0,0,451.1,2241.6,2241.6,960.5,95,259,960.5
2025-10-31T23:45:00+05:30,2025-10-31 23:45:00,22.3,23.1,0,0,22,239,0,0,0,0,451.1,2241.6,2241.6,960.5,95,259,960.5
2025-10-31T23:40:00+05:30,2025-10-31 23:40:00,22.4,23.2,1.8,1.8,22,251,0,0,0,0,451.1,2241.6,2241.6,960.6,95,258,960.6
2025-10-31T23:35:00+05:30,2025-10-31 23:35:00,22.4,23.2,0.7,1.8,22,222,0,0,0,0,451.1,2241.6,2241.6,960.6,95,258,960.6
2025-10-31T23:30:00+05:30,2025-10-31 23:30:00,22.5,23.3,1.1,1.8,22,255,0,0,0,0,451.1,2241.6,2241.6,960.6,95,155,960.6
2025-10-31T23:25:00+05:30,2025-10-31 23:25:00,22.7,23.5,0,0,22,155,0,0,0,0,451.1,2241.6,2241.6,960.6,95,155,960.6
2025-10-31T23:20:00+05:30,2025-10-31 23:20:00,22.6,23.4,0,0,22,155,0,0,0,0,451.1,2241.6,2241.6,960.7,95,155,960.7
2025-10-31T23:15:00+05:30,2025-10-31 23:15:00,22.6,23.4,0,0,22,155,0,0,0,0,451.1,2241.6,2241.6,960.6,95,155,960.6
2025-10-31T23:10:00+05:30,2025-10-31 23:10:00,22.7,23.5,0,0,22,155,0,0,0,0,451.1,2241.6,2241.6,960.7,94,155,960.7
2025-10-31T23:05:00+05:30,2025-10-31 23:05:00,22.8,23.6,1.1,1.8,22,155,0,0,0,0,451.1,2241.6,2241.6,960.6,94,155,960.6
2025-10-31T23:00:00+05:30,2025-10-31 23:00:00,22.9,23.7,1.4,1.8,22,154,0,0,0,0,451.1,2241.6,2241.6,960.7,94,156,960.7
2025-10-31T22:55:00+05:30,2025-10-31 22:55:00,22.8,23.6,0,0,22,155,0,0,0,0,451.1,2241.6,2241.6,960.7,95,156,960.7
2025-10-31T22:50:00+05:30,2025-10-31 22:50:00,22.8,23.6,0,1.8,22,155,0,0,0,0,451.1,2241.6,2241.6,960.8,94,45,960.8
2025-10-31T22:45:00+05:30,2025-10-31 22:45:00,22.9,23.7,1.1,1.8,22,116,0,0,0,0,451.1,2241.6,2241.6,961,94,45,961
2025-10-31T22:40:00+05:30,2025-10-31 22:40:00,22.9,23.7,0.4,1.8,22,45,0,0,0,0,451.1,2241.6,2241.6,960.8,95,317,960.8
2025-10-31T22:35:00+05:30,2025-10-31 22:35:00,22.8,23.6,0,0,22,317,0,0,0,0,451.1,2241.6,2241.6,960.9,95,317,960.9
2025-10-31T22:30:00+05:30,2025-10-31 22:30:00,22.8,23.6,0,1.8,22,317,0,0,0,0,451.1,2241.6,2241.6,961,95,316,961
2025-10-31T22:25:00+05:30,2025-10-31 22:25:00,22.8,23.6,1.4,1.8,22,316,0,0,0,0,451.1,2241.6,2241.6,960.9,95,316,960.9
2025-10-31T22:20:00+05:30,2025-10-31 22:20:00,23,23.8,0.7,1.8,22,316,0,0,0,0,451.1,2241.6,2241.6,960.8,94,317,960.8
2025-10-31T22:15:00+05:30,2025-10-31 22:15:00,23.1,23.9,1.8,1.8,22,317,0,0,0,0,451.1,2241.6,2241.6,960.9,94,317,960.9
2025-10-31T22:10:00+05:30,2025-10-31 22:10:00,23.1,23.9,0,0,22,317,0,0,0,0,451.1,2241.6,2241.6,961,94,317,961
2025-10-31T22:05:00+05:30,2025-10-31 22:05:00,23.1,23.9,0,0,22,317,0,0,0,0,451.1,2241.6,2241.6,961,94,317,961
