"Date","Simple Date","Relative Pressure (hPa)","Avg Wind Direction (10 mins) (°)","Absolute Pressure (hPa)"
2026-03-26T15:35:00+05:30,2026-03-26 15:35:00,956,0,956
2026-03-26T15:30:00+05:30,2026-03-26 15:30:00,956.1,0,956.1
2026-03-26T15:25:00+05:30,2026-03-26 15:25:00,955.9,0,955.9
2026-03-26T15:20:00+05:30,2026-03-26 15:20:00,956.3,0,956.3
2026-03-26T15:15:00+05:30,2026-03-26 15:15:00,956.2,0,956.2
2026-03-26T15:10:00+05:30,2026-03-26 15:10:00,956.1,0,956.1
2026-03-26T15:05:00+05:30,2026-03-26 15:05:00,956.1,0,956.1
2026-03-26T15:00:00+05:30,2026-03-26 15:00:00,956.1,0,956.1
2026-03-26T14:55:00+05:30,2026-03-26 14:55:00,956.4,0,956.4
2026-03-26T14:50:00+05:30,2026-03-26 14:50:00,956.1,0,956.1
2026-03-26T14:45:00+05:30,2026-03-26 14:45:00,956.3,0,956.3
2026-03-26T14:40:00+05:30,2026-03-26 14:40:00,956.3,0,956.3
2026-03-26T14:35:00+05:30,2026-03-26 14:35:00,956.3,0,956.3
2026-03-26T14:30:00+05:30,2026-03-26 14:30:00,956.4,0,956.4
2026-03-26T14:25:00+05:30,2026-03-26 14:25:00,956.3,0,956.3
2026-03-26T14:20:00+05:30,2026-03-26 14:20:00,956.5,0,956.5
2026-03-26T14:15:00+05:30,2026-03-26 14:15:00,956.6,0,956.6
2026-03-26T14:10:00+05:30,2026-03-26 14:10:00,956.7,0,956.7
2026-03-26T14:05:00+05:30,2026-03-26 14:05:00,956.6,0,956.6
2026-03-26T14:00:00+05:30,2026-03-26 14:00:00,956.7,0,956.7
2026-03-26T13:55:00+05:30,2026-03-26 13:55:00,956.8,0,956.8
2026-03-26T13:50:00+05:30,2026-03-26 13:50:00,956.9,0,956.9
2026-03-26T13:45:00+05:30,2026-03-26 13:45:00,957,0,957
2026-03-26T13:40:00+05:30,2026-03-26 13:40:00,957,0,957
2026-03-26T13:35:00+05:30,2026-03-26 13:35:00,957.1,0,957.1
2026-03-26T13:30:00+05:30,2026-03-26 13:30:00,956.9,0,956.9
2026-03-26T13:25:00+05:30,2026-03-26 13:25:00,957,0,957
2026-03-26T13:21:00+05:30,2026-03-26 13:21:00,957.1,0,957.1
2026-03-26T13:15:00+05:30,2026-03-26 13:15:00,957.1,0,957.1
2026-03-26T13:10:00+05:30,2026-03-26 13:10:00,957.4,0,957.4
2026-03-26T13:05:00+05:30,2026-03-26 13:05:00,957.5,0,957.5
2026-03-26T13:00:00+05:30,2026-03-26 13:00:00,957.7,0,957.7
2026-03-26T12:55:00+05:30,2026-03-26 12:55:00,957.7,0,957.7
2026-03-26T12:50:00+05:30,2026-03-26 12:50:00,957.5,0,957.5
2026-03-26T12:45:00+05:30,2026-03-26 12:45:00,957.7,0,957.7
2026-03-26T12:40:00+05:30,2026-03-26 12:40:00,957.8,0,957.8
2026-03-26T12:35:00+05:30,2026-03-26 12:35:00,957.8,0,957.8
2026-03-26T12:30:00+05:30,2026-03-26 12:30:00,958,0,958
2026-03-26T12:25:00+05:30,2026-03-26 12:25:00,958.2,0,958.2
2026-03-26T12:20:00+05:30,2026-03-26 12:20:00,958.1,0,958.1
2026-03-26T12:15:00+05:30,2026-03-26 12:15:00,958.3,,958.3
2026-03-26T12:10:00+05:30,2026-03-26 12:10:00,958.5,,958.5
2026-03-26T12:05:00+05:30,2026-03-26 12:05:00,958.5,0,958.5
2026-03-26T12:00:00+05:30,2026-03-26 12:00:00,958.6,0,958.6
2026-03-26T11:55:00+05:30,2026-03-26 11:55:00,958.4,0,958.4
2026-03-26T11:50:00+05:30,2026-03-26 11:50:00,958.5,0,958.5
2026-03-26T11:45:00+05:30,2026-03-26 11:45:00,958.6,0,958.6
2026-03-26T11:40:00+05:30,2026-03-26 11:40:00,959,0,959
2026-03-26T11:35:00+05:30,2026-03-26 11:35:00,958.9,0,958.9
2026-03-26T11:30:00+05:30,2026-03-26 11:30:00,958.8,0,958.8
2026-03-26T11:25:00+05:30,2026-03-26 11:25:00,959,0,959
2026-03-26T11:20:00+05:30,2026-03-26 11:20:00,959.1,0,959.1
2026-03-26T11:15:00+05:30,2026-03-26 11:15:00,959.2,0,959.2
2026-03-26T11:10:00+05:30,2026-03-26 11:10:00,959.1,0,959.1
2026-03-26T11:05:00+05:30,2026-03-26 11:05:00,959.4,0,959.4
2026-03-26T11:00:00+05:30,2026-03-26 11:00:00,959.5,0,959.5
2026-03-26T10:55:00+05:30,2026-03-26 10:55:00,959.5,0,959.5
2026-03-26T10:50:00+05:30,2026-03-26 10:50:00,959.8,0,959.8
2026-03-26T10:45:00+05:30,2026-03-26 10:45:00,959.5,0,959.5
2026-03-26T10:40:00+05:30,2026-03-26 10:40:00,959.6,0,959.6
2026-03-26T10:35:00+05:30,2026-03-26 10:35:00,959.7,0,959.7
2026-03-26T10:30:00+05:30,2026-03-26 10:30:00,959.9,0,959.9
2026-03-26T10:25:00+05:30,2026-03-26 10:25:00,960,0,960
2026-03-26T10:20:00+05:30,2026-03-26 10:20:00,959.7,0,959.7
2026-03-26T10:16:00+05:30,2026-03-26 10:16:00,959.9,0,959.9
2026-03-26T10:10:00+05:30,2026-03-26 10:10:00,959.8,0,959.8
2026-03-26T10:05:00+05:30,2026-03-26 10:05:00,959.8,0,959.8
2026-03-26T10:00:00+05:30,2026-03-26 10:00:00,959.9,0,959.9
2026-03-26T09:55:00+05:30,2026-03-26 09:55:00,959.9,0,959.9
2026-03-26T09:50:00+05:30,2026-03-26 09:50:00,959.9,0,959.9
2026-03-26T09:45:00+05:30,2026-03-26 09:45:00,960.1,0,960.1
2026-03-26T09:40:00+05:30,2026-03-26 09:40:00,959.9,0,959.9
2026-03-26T09:35:00+05:30,2026-03-26 09:35:00,959.9,0,959.9
2026-03-26T09:30:00+05:30,2026-03-26 09:30:00,959.9,0,959.9
2026-03-26T09:25:00+05:30,2026-03-26 09:25:00,960,0,960
2026-03-26T09:20:00+05:30,2026-03-26 09:20:00,960,0,960
2026-03-26T09:15:00+05:30,2026-03-26 09:15:00,960,0,960
2026-03-26T09:10:00+05:30,2026-03-26 09:10:00,960.2,0,960.2
2026-03-26T09:05:00+05:30,2026-03-26 09:05:00,960.1,0,960.1
2026-03-26T09:00:00+05:30,2026-03-26 09:00:00,960.1,0,960.1
2026-03-26T08:55:00+05:30,2026-03-26 08:55:00,960.3,0,960.3
2026-03-26T08:50:00+05:30,2026-03-26 08:50:00,960.2,0,960.2
2026-03-26T08:45:00+05:30,2026-03-26 08:45:00,960.1,0,960.1
2026-03-26T08:40:00+05:30,2026-03-26 08:40:00,960.3,0,960.3
2026-03-26T08:35:00+05:30,2026-03-26 08:35:00,960.1,0,960.1
2026-03-26T08:30:00+05:30,2026-03-26 08:30:00,960.3,0,960.3
2026-03-26T08:25:00+05:30,2026-03-26 08:25:00,960.3,0,960.3
2026-03-26T08:20:00+05:30,2026-03-26 08:20:00,960.2,0,960.2
2026-03-26T08:15:00+05:30,2026-03-26 08:15:00,960.1,0,960.1
2026-03-26T08:10:00+05:30,2026-03-26 08:10:00,960.2,0,960.2
2026-03-26T08:05:00+05:30,2026-03-26 08:05:00,960.1,0,960.1
2026-03-26T08:00:00+05:30,2026-03-26 08:00:00,960.3,0,960.3
2026-03-26T07:55:00+05:30,2026-03-26 07:55:00,960.1,0,960.1
2026-03-26T07:50:00+05:30,2026-03-26 07:50:00,959.9,0,959.9
2026-03-26T07:45:00+05:30,2026-03-26 07:45:00,959.9,0,959.9
2026-03-26T07:40:00+05:30,2026-03-26 07:40:00,959.9,0,959.9
2026-03-26T07:35:00+05:30,2026-03-26 07:35:00,959.9,0,959.9
2026-03-26T07:30:00+05:30,2026-03-26 07:30:00,959.9,0,959.9
2026-03-26T07:25:00+05:30,2026-03-26 07:25:00,959.8,0,959.8
2026-03-26T07:20:00+05:30,2026-03-26 07:20:00,959.8,0,959.8
2026-03-26T07:15:00+05:30,2026-03-26 07:15:00,959.7,0,959.7
2026-03-26T07:10:00+05:30,2026-03-26 07:10:00,959.6,0,959.6
2026-03-26T07:05:00+05:30,2026-03-26 07:05:00,959.5,0,959.5
2026-03-26T07:00:00+05:30,2026-03-26 07:00:00,959.5,0,959.5
2026-03-26T06:55:00+05:30,2026-03-26 06:55:00,959.6,0,959.6
2026-03-26T06:50:00+05:30,2026-03-26 06:50:00,959.5,0,959.5
2026-03-26T06:45:00+05:30,2026-03-26 06:45:00,959.3,0,959.3
2026-03-26T06:40:00+05:30,2026-03-26 06:40:00,959.1,0,959.1
2026-03-26T06:35:00+05:30,2026-03-26 06:35:00,959.2,0,959.2
