"Date","Simple Date","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 1 Temperature (°C)","Sensor 1 Humidity (%)","Sensor 1 Feels Like (°C)","Sensor 1 Dew Point (°C)"
2024-12-31T23:55:00+05:30,2024-12-31 23:55:00,0,0,1.8,20,1.3,38.6,12.4,39.1,163.1,163.1,0,0,24.3,90,25.1,22.6
2024-12-31T23:50:00+05:30,2024-12-31 23:50:00,0,0,1.8,20,1.5,38.6,12.4,39.1,163.1,163.1,0,0,24.3,90,25.1,22.6
2024-12-31T23:45:00+05:30,2024-12-31 23:45:00,0,0,1.8,20,1.8,38.6,12.4,39.1,163.1,163.1,0,0,24.4,90,25.2,22.6
2024-12-31T23:40:00+05:30,2024-12-31 23:40:00,0,0,1.8,20,2,38.6,12.4,39.1,163.1,163.1,0,0,24.4,90,25.2,22.6
2024-12-31T23:35:00+05:30,2024-12-31 23:35:00,0,0,1.8,20,2.3,38.6,12.4,39.1,163.1,163.1,0,0,24.4,90,25.2,22.6
2024-12-31T23:30:00+05:30,2024-12-31 23:30:00,0,0,1.8,19,2.3,38.6,12.4,39.1,163.1,163.1,0,0,24.4,90,25.2,22.6
2024-12-31T23:25:00+05:30,2024-12-31 23:25:00,0,0,1.8,19,2.3,38.6,12.4,39.1,163.1,163.1,0,0,24.4,90,25.2,22.6
2024-12-31T23:20:00+05:30,2024-12-31 23:20:00,0,0,1.8,20,2.3,38.6,12.4,39.1,163.1,163.1,0,0,24.4,90,25.2,22.6
2024-12-16T09:45:00+05:30,2024-12-16 09:45:00,0,0,0,219,2.5,12.7,11.4,12.7,72.9,72.9,0,76.4,23.8,89,24.6,21.8
2024-12-16T09:40:00+05:30,2024-12-16 09:40:00,0,0,0,216,2,12.2,10.9,12.2,72.4,72.4,1,142.8,23.7,89,24.5,21.8
2024-12-16T09:35:00+05:30,2024-12-16 09:35:00,0,0,0,216,1,11.2,9.9,11.2,71.4,71.4,0,96.8,23.8,89,24.6,21.8
2024-12-16T09:30:00+05:30,2024-12-16 09:30:00,0,0,0,215,1,11.2,9.9,11.2,71.4,71.4,1,137.2,23.8,89,24.6,21.8
2024-12-16T09:25:00+05:30,2024-12-16 09:25:00,0,0,0,213,0.8,10.9,9.7,10.9,71.1,71.1,1,131.5,23.7,89,24.5,21.8
2024-12-16T09:20:00+05:30,2024-12-16 09:20:00,0,0,0,213,0.5,10.7,9.4,10.7,70.9,70.9,1,114.8,23.7,89,24.5,21.8
2024-12-16T09:15:00+05:30,2024-12-16 09:15:00,0,0,0,213,0.3,10.4,9.1,10.4,70.6,70.6,1,109.7,23.7,89,24.5,21.8
2024-12-16T09:10:00+05:30,2024-12-16 09:10:00,0,0,0,210,0.3,10.4,9.1,10.4,70.6,70.6,1,107.9,23.7,89,24.5,21.8
2024-12-16T09:05:00+05:30,2024-12-16 09:05:00,0,0,0,211,0,10.2,8.9,10.2,70.4,70.4,0,102.5,23.7,88,24.4,21.6
2024-12-16T09:00:00+05:30,2024-12-16 09:00:00,0,0,0,210,0,10.2,8.9,10.2,70.4,70.4,1,107,23.7,88,24.4,21.6
2024-12-16T08:55:00+05:30,2024-12-16 08:55:00,0,0,0,210,0,10.2,8.9,10.2,70.4,70.4,0,76.2,23.7,88,24.4,21.6
2024-12-16T08:50:00+05:30,2024-12-16 08:50:00,0,0,0,211,0,10.2,8.9,10.2,70.4,70.4,0,78.2,23.6,88,24.3,21.5
2024-12-16T08:45:00+05:30,2024-12-16 08:45:00,0,0,0,211,0,10.2,8.9,10.2,70.4,70.4,0,57.6,23.6,88,24.3,21.5
2024-12-16T08:40:00+05:30,2024-12-16 08:40:00,0,0,0,211,0,10.2,8.9,10.2,70.4,70.4,0,42.4,23.6,88,24.3,21.5
2024-12-16T08:35:00+05:30,2024-12-16 08:35:00,0,0,0,211,0,10.2,8.9,10.2,70.4,70.4,0,48.9,23.6,88,24.3,21.5
2024-12-16T08:30:00+05:30,2024-12-16 08:30:00,0,0,0,211,0,10.2,8.9,10.2,70.4,70.4,0,67.5,23.6,88,24.3,21.5
2024-12-16T08:25:00+05:30,2024-12-16 08:25:00,0,0,0,211,0.3,10.2,8.9,10.2,70.4,70.4,0,76,23.6,88,24.3,21.5
2024-12-16T08:20:00+05:30,2024-12-16 08:20:00,0,0,0,207,0.3,10.2,8.9,10.2,70.4,70.4,0,65.9,23.6,88,24.3,21.5
2024-12-16T08:15:00+05:30,2024-12-16 08:15:00,0,0,0,207,0.3,10.2,8.9,10.2,70.4,70.4,0,75.3,23.6,88,24.3,21.5
2024-12-16T08:10:00+05:30,2024-12-16 08:10:00,0,0,0,41,0.3,10.2,8.9,10.2,70.4,70.4,0,69.1,23.6,88,24.3,21.5
2024-12-16T08:05:00+05:30,2024-12-16 08:05:00,0,0,0,28,0.3,10.2,8.9,10.2,70.4,70.4,0,61.7,23.6,88,24.3,21.5
2024-12-16T08:00:00+05:30,2024-12-16 08:00:00,0,0,0,23,0.3,10.2,8.9,10.2,70.4,70.4,0,65.9,23.6,88,24.3,21.5
2024-12-16T07:55:00+05:30,2024-12-16 07:55:00,0,0,0,20,0.3,10.2,8.9,10.2,70.4,70.4,0,76.2,23.5,88,24.2,21.4
2024-12-16T07:50:00+05:30,2024-12-16 07:50:00,0,0,0,0,0.3,10.2,8.9,10.2,70.4,70.4,0,65.3,23.5,88,24.2,21.4
2024-12-16T07:45:00+05:30,2024-12-16 07:45:00,0,0,0,359,0.3,10.2,8.9,10.2,70.4,70.4,0,47.6,23.5,88,24.2,21.4
2024-12-16T07:40:00+05:30,2024-12-16 07:40:00,0,0,0,353,0.3,10.2,8.9,10.2,70.4,70.4,0,40.8,23.5,88,24.2,21.4
2024-12-16T07:35:00+05:30,2024-12-16 07:35:00,0,0,0,21,0.3,10.2,8.9,10.2,70.4,70.4,0,32.3,23.5,88,24.2,21.4
2024-12-16T07:30:00+05:30,2024-12-16 07:30:00,0,0,0,66,0.3,10.2,8.9,10.2,70.4,70.4,0,20.1,23.5,88,24.2,21.4
2024-12-16T07:25:00+05:30,2024-12-16 07:25:00,0,0,0,66,0,9.9,8.6,9.9,70.1,70.1,0,15.3,23.5,87,24.2,21.2
2024-12-16T07:20:00+05:30,2024-12-16 07:20:00,0,0,0,66,0,9.9,8.6,9.9,70.1,70.1,0,18,23.5,87,24.2,21.2
